update,mean_rollout_reward,eval_reward,loss_policy,loss_value,loss_entropy
1,-14.351081904631869,nan,-0.009969249367713928,47304.90625,2.83369779586792
2,-16.969381161253594,-2284.063781078893,-0.013763956725597382,66246.8125,2.832181453704834
3,-15.561385686301985,nan,-0.0006947480142116547,57680.65625,2.8304638862609863
4,-16.855487912995624,-1942.399442002239,-0.027314290404319763,71300.78125,2.8306918144226074
5,-16.788771807529915,nan,-0.0038531478494405746,65955.859375,2.8316848278045654
