time_s,q_rad,qd_rad_s,q_des_rad,applied_torque_nm
2.384185791015625e-07,0.02765398845076561,-0.0238923542201519,-0.00011666209097660872,-0.0006924274986873605
0.010062217712402344,0.02765398845076561,-0.026833221316337585,0.010394581783598058,0.05077784914283021
0.020074129104614258,0.027739210054278374,0.01585996523499489,0.020764269438453293,0.10763010171937516
0.030145883560180664,0.027696600183844566,-0.013682330958545208,0.030819999526884995,0.16206026490982567
0.040070295333862305,0.027739210054278374,-0.0004809098900295794,0.040680974517996564,0.21110917905225252
0.05007815361022949,0.027867039665579796,0.030867895111441612,0.050157889267395055,0.2517640935604813
0.06007194519042969,0.02782442793250084,-0.004032478667795658,0.05961744436167207,0.2842140158536683
0.07008242607116699,0.02782442793250084,-0.04433462768793106,0.06853476568775688,0.30582136505563084
0.080078125,0.027867039665579796,-0.04087919369339943,0.07742784265021113,0.31914216570670584
0.0901484489440918,0.02812270075082779,0.06826699525117874,0.08583508585160061,0.323059790176896
0.10008788108825684,0.028037479147315025,0.02434292994439602,0.09406023898192081,0.3206931307949727
0.11008977890014648,0.028080090880393982,0.04175183176994324,0.10180911464854885,0.31172060470573926
0.1201469898223877,0.02795225940644741,-0.009058673866093159,0.1094510176929798,0.2987750961137017
0.13015317916870117,0.02795225940644741,-0.012519012205302715,0.11655736994359284,0.2820133147313763
0.14015793800354004,0.027909649536013603,-0.04191724583506584,0.12343192880258072,0.26331774107479067
0.15015625953674316,0.028080090880393982,0.04581226408481598,0.12984561198189584,0.2428270047471814
0.16008806228637695,0.028037479147315025,0.013743449002504349,0.13589877524942623,0.22182768925659463
0.17015314102172852,0.02782442793250084,-0.07234594970941544,0.1416210327517638,0.20025331942370145
0.18008780479431152,0.027909649536013603,-0.0331825390458107,0.14684876284639983,0.17911411043316786
0.1901535987854004,0.027909649536013603,-0.039604611694812775,0.15179413877501488,0.15866145442880378
0.20015478134155273,0.028037479147315025,0.03465673699975014,0.15616945167417676,0.1390946489332974
0.21008729934692383,0.02782442793250084,-0.055006034672260284,0.16024440549594715,0.12180028784774916
0.2201528549194336,0.028037479147315025,0.052043262869119644,0.16370393275943015,0.1055617844204835
0.23015260696411133,0.027909649536013603,0.01368111465126276,0.1669448757545925,0.09287393130088477
0.24015426635742188,0.027909649536013603,0.018255064263939857,0.16939155329823782,0.08189114349940389
0.2501680850982666,0.027867039665579796,0.0015404608566313982,0.1717345190363894,0.07564151800413425
0.2600867748260498,0.02782442793250084,-0.003976178355515003,0.17312568151345717,0.07126776430683762
0.2701554298400879,0.027781818062067032,-0.04635246470570564,0.17452102244676165,0.07241033099085242
0.2800862789154053,0.027696600183844566,-0.060253556817770004,0.17483685201384017,0.07271603822106609
0.29015469551086426,0.027909649536013603,0.030548397451639175,0.17512812619210744,0.07413527370921892
0.30015087127685547,0.02782442793250084,-0.0014216818381100893,0.1744119264284797,0.0718304578898899
0.3101541996002197,0.027739210054278374,-0.04620376229286194,0.1735539554282423,0.06911909352596288
0.32015538215637207,0.02782442793250084,-0.003985109273344278,0.17176259553077233,0.06279899259286743
0.3301725387573242,0.027909649536013603,0.02535206638276577,0.1697030704007777,0.055641134496851895
0.34015798568725586,0.027867039665579796,0.015564410015940666,0.1668012809943127,0.045432933832294985
0.35016345977783203,0.027867039665579796,0.018761176615953445,0.16349773783848975,0.03412336530508053
