time_s,hip_pos_target_r,hip_pos_target_l,hip_pos_r,hip_pos_l,hip_vel_target_r,hip_vel_target_l,hip_vel_r,hip_vel_l,pid_output_r,pid_output_l,agent_torque_r,agent_torque_l,combined_torque_r,combined_torque_l
0.0,0.0,0.0,0.03677256405353546,-0.06775014102458954,1.6710131783785793,0.0,-0.028158899396657944,0.015078325755894184,-0.09193141013383865,0.16937535256147385,0.9188324809074402,-0.7092245817184448,0.8269010707736015,-0.539849229156971
0.01,0.016710131783785793,0.0,0.036857783794403076,-0.06796319037675858,1.6710131783785793,0.0,0.009240522980690002,-0.07136961072683334,0.11587999040263859,0.1720384694635868,0.9999776482582092,-0.8821415901184082,1.1158576386608479,-0.7101031206548214
0.02,0.033420263567571586,0.0,0.03681517392396927,-0.06770753115415573,1.733219752188944,0.0,-0.006622202228754759,0.05142224580049515,0.1590401406512018,0.16671223565936089,0.9999687075614929,-0.8494068384170532,1.1590088482126948,-0.6826946027576923
0.03,0.051374526827564666,0.0,0.03681517392396927,-0.06770753115415573,1.8023381675337942,0.0,-0.006622202228754759,0.05142224580049515,0.2159410148589193,0.16926882788538933,0.9999908804893494,-0.8312134742736816,1.2159318953482687,-0.6619446463882923
0.04,0.06946702691824747,0.0,0.03677256405353546,-0.06783536076545715,1.8519230650782323,0.0,-0.02107303775846958,-0.013072066940367222,0.2630872567729461,0.1708666980266571,0.9999979138374329,-0.812474250793457,1.263085170610379,-0.6416075527667999
0.05,0.08841298812912933,0.0,0.03677256405353546,-0.06783536076545715,1.905264385090676,0.0,-0.02107303775846958,-0.013072066940367222,0.3185606722978034,0.16958840191364288,0.9999991059303284,-0.7807110548019409,1.3185597782281318,-0.611122652888298
0.06,0.10757231462006098,0.0,0.03677256405353546,-0.06783536076545715,1.9422276063692152,0.0,-0.02107303775846958,-0.013072066940367222,0.3685926413256303,0.16958840191364288,0.9999996423721313,-0.7482501268386841,1.3685922836977618,-0.5786617249250412
0.07,0.12725754025651365,0.0,0.03677256405353546,-0.06783536076545715,1.9797918310492921,0.0,-0.02107303775846958,-0.013072066940367222,0.4230646968719721,0.16958840191364288,0.9999998807907104,-0.7156822681427002,1.4230645776626827,-0.5460938662290573
0.08,0.14716815124104682,0.0,0.036857783794403076,-0.06787797063589096,2.0041333760619144,0.0,0.017042558640241623,-0.026758911088109016,0.4740298310532649,0.17012102529406548,0.9999999403953552,-0.6855496168136597,1.4740297714486201,-0.5154285915195942
0.09,0.1673402077777519,0.0,0.036857783794403076,-0.06787797063589096,2.025920505409574,0.0,0.017042558640241623,-0.026758911088109016,0.527926625325423,0.1696949265897274,1.0,-0.6610890626907349,1.527926625325423,-0.49139413610100746
0.1,0.1876865613492383,0.0,0.037028223276138306,-0.06796319037675858,2.037640374156288,0.0,0.07616491615772247,-0.036022379994392395,0.5784049860802617,0.17076017335057259,1.0,-0.6431597471237183,1.5784049860802618,-0.4723995737731457
0.11,0.20809301526087767,0.0,0.037028223276138306,-0.06796319037675858,2.0436504081715867,0.0,0.07616491615772247,-0.036022379994392395,0.6317265190782421,0.16990797594189644,1.0,-0.6061829328536987,1.6317265190782422,-0.4362749569118023
0.12,0.22855956951267,0.0,0.03945700451731682,-0.06971020996570587,2.0427486006523736,0.0,0.3294001817703247,-0.24549716711044312,0.6531341425945212,0.19174572080373764,0.9999788403511047,-0.638588547706604,1.653112982945626,-0.44684282690286636
0.13,0.24894798727392514,0.0,0.0440589003264904,-0.07260769605636597,2.0329815393353012,0.0,0.45032623410224915,-0.2864454984664917,0.6700879368894024,0.21049410104751587,0.9974382519721985,-0.5137124061584473,1.6675261888616009,-0.3032183051109314
0.14,0.26921920029937607,0.0,0.0487460158765316,-0.07409905642271042,2.019458055550194,0.0,0.5373731851577759,-0.07118441164493561,0.7070239358112085,0.20016124472022057,0.9813922047615051,-0.5787394046783447,1.6884161405727136,-0.37857815995812416
