#{"t_start": 1781712093.2874434, "env_id": "nair_gait_h0404MimoExo-v0"}
r,l,t
776.602215,1000,1.113836
773.409713,1000,1.409137
778.781253,1000,1.698766
783.285552,1000,1.991382
765.595054,1000,2.287522
762.326332,1000,2.594018
788.734755,1000,2.898042
759.950649,1000,3.209456
764.446865,1000,3.494613
794.051529,1000,3.790674
756.643835,1000,8.818476
787.984803,1000,13.503088
805.639858,1000,17.882033
849.205653,1000,22.410041
875.05762,1000,27.097989
910.378881,1000,32.139392
927.523811,1000,37.176725
959.897947,1000,42.132222
970.918678,1000,47.067015
974.850351,1000,52.03252
970.266754,1000,56.445234
973.404355,1000,60.64707
977.275772,1000,64.791863
983.267394,1000,69.150866
993.611994,1000,73.263355
994.063504,1000,78.273312
996.401483,1000,83.318499
1001.912667,1000,87.478125
1010.991651,1000,91.614719
1017.256266,1000,95.767962
1022.043057,1000,100.226388
1024.106312,1000,105.066399
1026.894559,1000,109.926397
1024.352683,1000,114.2718
1028.375421,1000,118.598017
1025.375785,1000,123.593005
1026.631034,1000,128.571583
1027.240039,1000,133.603324
1033.894652,1000,138.552392
1034.003732,1000,142.932171
1032.260654,1000,147.254408
1038.243748,1000,151.654233
1037.661812,1000,155.948113
1039.10238,1000,160.279177
1045.852907,1000,164.621943
1046.040383,1000,168.976537
1046.340909,1000,173.296432
1053.072305,1000,177.668095
1052.627885,1000,181.972332
1056.608979,1000,186.285653
1055.204952,1000,190.626091
1059.660934,1000,194.935084
1059.557477,1000,199.339414
1058.925907,1000,204.306168
1059.433439,1000,208.78042
1061.520366,1000,213.072575
1062.639168,1000,217.408048
1060.804958,1000,221.727711
1065.133179,1000,226.065972
1063.091333,1000,230.37641
1063.324684,1000,234.834948
1064.603223,1000,239.137387
1063.93894,1000,243.952227
1063.577842,1000,249.087198
1063.641918,1000,253.556228
1065.885258,1000,257.920702
1066.223985,1000,262.813992
1065.768424,1000,267.761034
1064.335801,1000,272.807576
1064.772813,1000,277.376117
1064.785301,1000,281.694789
1066.290608,1000,286.03328
1066.853522,1000,290.648431
1066.482064,1000,295.06207
1065.940903,1000,300.110819
1067.63284,1000,304.603961
1067.15643,1000,308.909378
1067.872159,1000,313.217901
1069.163589,1000,317.724688
1068.324463,1000,322.662302
1068.729297,1000,327.916065
1068.145351,1000,333.037389
1068.628583,1000,337.37259
1068.731068,1000,341.862602
1069.790856,1000,346.927403
1068.386136,1000,351.992677
1069.049353,1000,356.514197
1069.422092,1000,360.977618
1070.051101,1000,365.501941
1068.768316,1000,370.101078
1069.307962,1000,374.537933
1069.768082,1000,379.157585
1069.428274,1000,383.479748
1070.263187,1000,387.967556
1069.245004,1000,392.410006
1070.140551,1000,396.705996
1070.640211,1000,401.051613
1070.347221,1000,405.966151
1070.761377,1000,410.97794
1070.232414,1000,415.919959
1071.230687,1000,420.876641
1070.169613,1000,425.63776
1070.566855,1000,429.951897
1070.783954,1000,434.35092
1070.676624,1000,438.704753
1070.575848,1000,443.191619
1071.186128,1000,447.579572
1072.042118,1000,452.413113
1071.157451,1000,456.870847
1070.969866,1000,461.205286
1071.885631,1000,465.678563
1072.951381,1000,470.051579
1071.969658,1000,474.458563
1070.848349,1000,478.799508
1072.526673,1000,483.109105
1071.209899,1000,487.423447
1071.605992,1000,492.133053
1072.781302,1000,496.479129
1072.867288,1000,500.864141
1072.213146,1000,505.21373
1072.622552,1000,509.628531
1072.257743,1000,513.993548
1073.204474,1000,518.327991
1072.189865,1000,522.892745
1072.381474,1000,527.992938
1072.792807,1000,532.446084
1073.615624,1000,536.800804
1073.382289,1000,541.130403
1073.821942,1000,545.922526
1073.505736,1000,550.731194
1072.836367,1000,555.180041
1073.54012,1000,560.176715
1073.361792,1000,565.174935
1073.611337,1000,569.62759
1073.56133,1000,573.992008
1074.470445,1000,578.489853
1073.847871,1000,582.80361
1073.729674,1000,587.110817
1073.719541,1000,591.936711
1073.11638,1000,596.943202
1073.337656,1000,601.931916
1074.186272,1000,606.888334
1073.49622,1000,611.92905
1074.448475,1000,616.884477
1072.964624,1000,621.98293
1074.265783,1000,626.958617
1074.263166,1000,631.618453
1074.172198,1000,636.389569
1075.181825,1000,641.41894
1073.570296,1000,646.033861
