timestep,episode,hip_pos_l,hip_pos_r,exo_pos_l,exo_pos_r,hip_vel_l,hip_vel_r,exo_vel_l,exo_vel_r,act_iliopsoas_l,act_iliopsoas_r,act_glut_l,act_glut_r,muscle_length_iliopsoas_l,muscle_length_iliopsoas_r,muscle_length_glut_l,muscle_length_glut_r,muscle_force_iliopsoas_l,muscle_force_iliopsoas_r,muscle_force_glut_l,muscle_force_glut_r,motor_torque_l,motor_torque_r,pid_output_l,pid_output_r,hip_pos_target_l,hip_pos_target_r,hip_vel_target_l,hip_vel_target_r
44001,44,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,1.0680433511734009,1.06804358959198,0.7233719229698181,0.7233719229698181,0.0,0.0,0.0,0.0,3.0158042907714844,-19.93193244934082,0.00023616055873571117,0.0,0.0,0.00011691116769094612,0.0,-1.0447034592521818
44002,44,-0.001308167353272438,-0.004448949359357357,-0.0017204656032845378,-0.0019292976940050721,-2.687560558319092,-3.25862979888916,-2.7743539810180664,-2.839571952819824,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.019334999844431877,1.0557219982147217,1.0557222366333008,0.7169661521911621,0.7140255570411682,0.0,0.0,0.0,0.0,-8.537179946899414,-19.425025939941406,-0.020864511094805666,0.0,0.0,-0.010330123424831429,0.0,-1.0447034592521813
44003,44,-0.016190556809306145,-0.0257029477506876,-0.01602805033326149,-0.01888788305222988,-0.445178747177124,-1.1434897184371948,-0.279239296913147,-0.7966205477714539,0.30140969157218933,0.332889586687088,0.009999999776482582,0.018177490681409836,1.018022894859314,1.0169786214828491,0.7106484770774841,0.7036118507385254,0.0,0.0,0.0,0.0,-13.358976364135742,-18.759849548339844,0.4557827714124858,0.4057765818014741,0.0,-0.020690253406756048,0.0,-0.9984746488223865
44004,44,-0.0208587646484375,-0.037208590656518936,-0.017766907811164856,-0.028324181213974953,-0.6212704181671143,-1.3109790086746216,-0.2649381458759308,-1.2116645574569702,0.2597508430480957,0.2956830561161041,0.009999999776482582,0.01716664619743824,0.9887197017669678,0.9919290542602539,0.70442134141922,0.6938803195953369,0.14249587059020996,0.18400129675865173,0.0,0.0,-10.759637832641602,-19.735151290893555,0.1609508221080166,0.09950790017843247,0.0,-0.03067499989498059,0.0,-0.9984746488223865
44005,44,-0.027386292815208435,-0.0512772835791111,-0.02180386148393154,-0.042364172637462616,-0.5735970139503479,-1.38621187210083,-0.48770684003829956,-1.4911106824874878,0.23528166115283966,0.2734728455543518,0.009999999776482582,0.016281045973300934,0.9831012487411499,0.9882127642631531,0.698284387588501,0.6847553849220276,0.21153119206428528,0.26624101400375366,0.0,0.0,-13.868932723999023,-19.818225860595703,0.18913856781010302,0.13567524179816245,0.0,-0.040614408538753366,0.0,-0.951121543448045
44006,44,-0.032688211649656296,-0.06499136239290237,-0.027834556996822357,-0.058105796575546265,-0.4741547405719757,-1.3367760181427002,-0.6590411067008972,-1.6041491031646729,0.21749277412891388,0.2604919672012329,0.009999999776482582,0.015506040304899216,0.9830434322357178,0.9898046851158142,0.6922398805618286,0.6761869192123413,0.22175663709640503,0.2886809706687927,0.0,0.0,-12.812514305114746,-18.64637565612793,0.2096458044514858,0.14212701335549355,0.0,-0.050083881914268207,0.0,-0.9469473375514328
44007,44,-0.036255210638046265,-0.07726360857486725,-0.03423682972788811,-0.07372024655342102,-0.28684574365615845,-1.1590546369552612,-0.6327360272407532,-1.5359872579574585,0.20280353724956512,0.2505677044391632,0.009999999776482582,0.014828061684966087,0.984507143497467,0.9932565093040466,0.6862896084785461,0.6681249141693115,0.2133675366640091,0.28601956367492676,0.0,0.0,-14.741241455078125,-19.695899963378906,0.2108283973763816,0.13846827425062655,0.0,-0.05955335528978305,0.0,-0.9217848711986326
44008,44,-0.039097197353839874,-0.08862647414207458,-0.04076265171170235,-0.0891561508178711,-0.2671792507171631,-1.0960184335708618,-0.623849630355835,-1.5235803127288818,0.1874854415655136,0.23888163268566132,0.009999999776482582,0.014234769158065319,0.9863467812538147,0.997168779373169,0.6804351806640625,0.6605212688446045,0.1977161169052124,0.2741032838821411,0.0,0.0,-10.536823272705078,-19.193296432495117,0.19107464444880037,0.11823102690279484,0.0,-0.06846139646755374,0.0,-0.8901215254393259
44009,44,-0.0406954288482666,-0.09869828820228577,-0.045124951750040054,-0.10272828489542007,-0.1242513656616211,-0.9897180795669556,-0.2980319857597351,-1.2177746295928955,0.17585138976573944,0.22881455719470978,0.009999999776482582,0.013715023174881935,0.9882204532623291,1.001204490661621,0.6746768951416016,0.653330385684967,0.1864698976278305,0.26333099603652954,0.0,0.0,-16.490825653076172,-17.21897315979004,0.1867677918151702,0.12174697034060955,0.0,-0.07736261172194747,0.0,-0.8901215254393259
44010,44,-0.04317851364612579,-0.10899780690670013,-0.047444798052310944,-0.11389037221670151,-0.30326515436172485,-1.0275224447250366,-0.160810187458992,-1.0072705745697021,0.16349053382873535,0.21852383017539978,0.009999999776482582,0.013260353356599808,0.9901370406150818,1.0050292015075684,0.6699959635734558,0.649124264717102,0.17197971045970917,0.2466050088405609,0.0051094042137265205,0.004673865623772144,-12.62016487121582,-11.8601655960083,0.1745269715527612,0.10431815914809704,0.0,-0.0857121705396961,0.0,-0.8279972124860561
44011,44,-0.044675663113594055,-0.11690133810043335,-0.04711321368813515,-0.12137790769338608,-0.13045954704284668,-0.7015587687492371,0.08127506822347641,-0.639312744140625,0.15898050367832184,0.21216362714767456,0.009999999776482582,0.012861589901149273,0.9917367100715637,1.0084702968597412,0.6693183183670044,0.6468275785446167,0.16545622050762177,0.23922832310199738,0.004523097071796656,0.003677894826978445,-10.652399063110352,-19.457643508911133,0.18453683277042288,0.1369999673217535,0.0,-0.09399214266455713,0.0,-0.8279972124860627
44012,44,-0.047438155859708786,-0.12580560147762299,-0.04778939113020897,-0.12867768108844757,-0.32641512155532837,-0.9672903418540955,-0.12649251520633698,-0.742554247379303,0.15156279504299164,0.19818100333213806,0.009999999776482582,0.01251174509525299,0.9932748079299927,1.012303113937378,0.6686898469924927,0.6442410945892334,0.15709716081619263,0.22797617316246033,0.004907750990241766,0.003419840009883046,-6.868679523468018,-19.368228912353516,0.13625517699922174,0.11496693842113018,0.0,-0.10174083111555474,0.0,-0.7605743986916399
44013,44,-0.04966505244374275,-0.13531696796417236,-0.04883142560720444,-0.1354735642671585,-0.1785137951374054,-0.9790821075439453,-0.13692553341388702,-0.6715162396430969,0.15144097805023193,0.19471150636672974,0.009999999776482582,0.012205124832689762,0.9943558573722839,1.016075611114502,0.6682091951370239,0.6414783596992493,0.15256628394126892,0.22007811069488525,0.004889972973614931,0.003085336647927761,-9.375228881835938,-18.60503578186035,0.17904113227299917,0.15083402320742606,0.0,-0.10934657510247155,0.0,-0.7605743986916399
44014,44,-0.05155859887599945,-0.14546990394592285,-0.05082683265209198,-0.14274939894676208,-0.17398858070373535,-1.0167415142059326,-0.2272077202796936,-0.7854118943214417,0.14854326844215393,0.19313547015190125,0.009999999776482582,0.011935730464756489,0.9951661229133606,1.0194454193115234,0.6677718162536621,0.6386997103691101,0.14948144555091858,0.21590666472911835,0.004947266541421413,0.0029344623908400536,-9.635071754455566,-18.989845275878906,0.185999069200225,0.1340959184616804,0.0,-0.11645200517998859,0.0,-0.6878530840560572
44015,44,-0.05316206440329552,-0.15555885434150696,-0.05327767878770828,-0.15158022940158844,-0.14635074138641357,-0.9981740713119507,-0.2488056719303131,-0.9577987194061279,0.14683124423027039,0.19717766344547272,0.009999999776482582,0.011699642986059189,0.9957477450370789,1.022218942642212,0.6676608920097351,0.6361517310142517,0.14487358927726746,0.21502190828323364,0.005368842277675867,0.003030807012692094,-6.181708335876465,-17.269981384277344,0.1986395778404096,0.13823540113866328,0.0,-0.12333053602054957,0.0,-0.6878530840560638
44016,44,-0.05349123850464821,-0.16469234228134155,-0.05502776429057121,-0.1612161248922348,0.00990188866853714,-0.8910395503044128,-0.14384952187538147,-0.9991693496704102,0.14542613923549652,0.20198549330234528,0.009999999776482582,0.011492228135466576,0.9959580898284912,1.0245152711868286,0.6678526401519775,0.6337376832962036,0.14104990661144257,0.21765604615211487,0.00568739790469408,0.002970461267977953,-4.902818202972412,-17.068580627441406,0.2037089654953385,0.13835989758372308,0.0,-0.12975031971785705,0.0,-0.6098332685793215
44017,44,-0.05282002314925194,-0.17334699630737305,-0.05573055520653725,-0.1713167130947113,0.10376176238059998,-0.8529380559921265,-0.006561897695064545,-1.0174028873443604,0.14069202542304993,0.20057827234268188,0.009999999776482582,0.011310534551739693,0.9960799813270569,1.0268690586090088,0.6681373715400696,0.6314111948013306,0.13751590251922607,0.21805661916732788,0.005579142365604639,0.0029899245128035545,-8.105329513549805,-15.213780403137207,0.19428597164984357,0.1166501760482788,0.0,-0.13584865240365068,0.0,-0.6098332685793215
44018,44,-0.05198245868086815,-0.18164098262786865,-0.055130813270807266,-0.181520476937294,0.0821516364812851,-0.8014307022094727,0.12540097534656525,-1.0060136318206787,0.134452223777771,0.19958701729774475,0.009999999776482582,0.011151256039738655,0.9963667392730713,1.0292644500732422,0.6684021353721619,0.6292496919631958,0.13241642713546753,0.21656760573387146,0.005627796519547701,0.0029675420373678207,-8.078420639038086,-15.705355644226074,0.1951326888261938,0.1022851647436619,0.0,-0.14154040171401913,0.0,-0.5265149522614327
44019,44,-0.05113877356052399,-0.18947359919548035,-0.053357966244220734,-0.19111745059490204,0.09297105669975281,-0.7658241987228394,0.22048264741897583,-0.8946678638458252,0.12969471514225006,0.19859959185123444,0.009999999776482582,0.011011256836354733,0.9965358972549438,1.0313990116119385,0.6689372658729553,0.6275715827941895,0.12567442655563354,0.21149900555610657,0.005956929177045822,0.0035439154598861933,-6.908533573150635,-8.233656883239746,0.1941609679823822,0.1048912038654089,0.0,-0.14680555123663386,0.0,-0.5265149522614461
44020,44,-0.04928998276591301,-0.19532616436481476,-0.050164416432380676,-0.19836165010929108,0.2068553864955902,-0.4989040791988373,0.34154507517814636,-0.6241905689239502,0.12537193298339844,0.19801737368106842,0.009999999776482582,0.010888288728892803,0.9964039325714111,1.0331472158432007,0.6696779727935791,0.6262251138687134,0.11967506259679794,0.20869821310043335,0.006308833137154579,0.0034774665255099535,-2.8165018558502197,-13.857121467590332,0.19539750618205315,0.1026036960631609,0.0,-0.15172687815333405,0.0,-0.43789813510239756
44021,44,-0.04665720462799072,-0.20040254294872284,-0.04685559868812561,-0.20364053547382355,0.31769129633903503,-0.4947293996810913,0.32702815532684326,-0.4364902973175049,0.11864640563726425,0.1909746378660202,0.009999999776482582,0.010780209675431252,0.9960746765136719,1.0349485874176025,0.6707102656364441,0.6249542236328125,0.11294422298669815,0.20347854495048523,0.0064766365103423595,0.003572264686226845,-5.251273155212402,-12.604422569274902,0.15909106198728235,0.08280926465988159,0.0,-0.15610585950435826,0.0,-0.43789813510238434
44022,44,-0.04315830394625664,-0.2050381898880005,-0.043617136776447296,-0.20720812678337097,0.37617039680480957,-0.4283140301704407,0.33081066608428955,-0.29284411668777466,0.10982658714056015,0.18565542995929718,0.009999999776482582,0.010685410350561142,0.9958560466766357,1.036704421043396,0.6717215180397034,0.6240001916885376,0.10606418550014496,0.19530688226222992,0.006242967210710049,0.003962940536439419,-10.690540313720703,-8.657693862915039,0.1612043475333922,0.06185146600008011,0.0,-0.1602143760206611,0.0,-0.3439828171021894
44023,44,-0.03990578278899193,-0.20847868919372559,-0.040243666619062424,-0.2095980942249298,0.283184677362442,-0.2627040147781372,0.3525118827819824,-0.18883629143238068,0.10024888068437576,0.18013587594032288,0.009999999776482582,0.010602164082229137,0.9957373142242432,1.0379701852798462,0.6728969812393188,0.6238025426864624,0.09593143314123154,0.18434639275074005,0.006791830528527498,0.004659076686948538,-2.4975204467773438,-6.614209175109863,0.1544613593572321,0.04694496564567089,0.0,-0.16365420419168317,0.0,-0.3439828171021762
44024,44,-0.03569050133228302,-0.20920684933662415,-0.035882268100976944,-0.21019363403320312,0.4683525860309601,0.028901658952236176,0.44196823239326477,-0.005283676087856293,0.0935039147734642,0.17151924967765808,0.009999999776482582,0.010529044084250927,0.99516361951828,1.03888738155365,0.6744393110275269,0.6239492893218994,0.08700913190841675,0.17505821585655212,0.007214239798486233,0.004607821349054575,1.5147781372070312,-12.849119186401367,0.13082564277934175,0.05518589690327645,0.0,-0.16690752230085934,0.0,-0.2447689982608348
44025,44,-0.030298961326479912,-0.20905882120132446,-0.03161376342177391,-0.20992125570774078,0.6035335063934326,0.020964257419109344,0.43519511818885803,0.07211818546056747,0.08265654742717743,0.15661044418811798,0.009999999776482582,0.010464782826602459,0.994620680809021,1.0400949716567993,0.6759549975395203,0.6239436268806458,0.07896968722343445,0.16395257413387299,0.006839924957603216,0.004453191999346018,-7.002702713012695,-13.034234046936035,0.08444276478142909,0.019693957716226576,0.0,-0.16935521228346778,0.0,-0.2447689982608348
