time_s,target_right_rad,actual_right_rad,torque_right_nm,right_flex,right_ext,target_left_rad,actual_left_rad,torque_left_nm,left_flex,left_ext
0.0,-0.00011691116769094612,-6.027737268340613e-06,-0.0008576587482609214,0.000105278506505697,0.0,0.0,-5.563130738799996e-06,-0.00012083835330967122,0.0,0.0
0.01,0.010330123424831429,2.7455060230840085e-05,0.06487724893936309,0.0,0.009300296661637572,0.0,-1.274286487864298e-05,-0.00013301860813469028,1.7442459511946267e-06,0.0
0.02,0.020690253406756048,0.00023710753771335303,0.1382147227643143,0.0,0.01865722632865911,0.0,-1.7074627748330913e-05,-9.089655842432168e-05,0.0,4.4865560760403e-06
0.03,0.03067499989498059,0.0008988337715443638,0.20880892166275725,0.0,0.027697015272972327,0.0,-1.862906124459961e-05,-3.3337072046683814e-05,0.0,1.1954161124684859e-05
0.04,0.040614408538753366,0.0022778981566582424,0.2754372032074023,0.0,0.03659056752411112,0.0,-2.0464712156143978e-05,-1.4661524872581474e-06,0.0,1.547773644150809e-05
0.05,0.050083881914268207,0.004590039438008723,0.33281053779022635,0.0,0.044675157486266985,0.0,-2.4565890270443404e-05,7.348631445053212e-06,0.0,1.6165439068535536e-05
0.06,0.05955335528978305,0.007999652496644551,0.38136551761702275,0.0,0.05212585987372395,0.0,-3.147354232412176e-05,1.6564910761581928e-05,0.0,1.7320369408148687e-05
0.07,0.06846139646755374,0.012608911318673567,0.41694292945943845,0.0,0.05823819439903178,0.0,-4.092003761983862e-05,4.174722358507953e-05,0.0,2.0746568075471216e-05
0.08,0.07736261172194747,0.01846034255578288,0.4421409965771616,0.0,0.06335225141055253,0.0,-5.2262181562440066e-05,8.780212157047393e-05,0.0,2.6866931258110512e-05
0.09,0.0857121705396961,0.02553468242018594,0.4547785965362798,0.0,0.0668818370272398,0.0,-6.477790877255926e-05,0.00015331533186845853,0.0,3.5392240215778234e-05
0.1,0.09399214266455713,0.03375944618835852,0.45826524438608646,0.0,0.06921368114505438,0.0,-7.776242517455007e-05,0.00023377953367947283,0.0,4.570469112219567e-05
0.11,0.10174083111555474,0.043013169412285945,0.45186605966377474,0.0,0.06994748700049498,0.0,-9.061010809981213e-05,0.0003239350947107616,0.0,5.713435455345058e-05
0.12,0.10934657510247155,0.053136435897415374,0.43889144593784707,0.0,0.0694922184423622,0.0,-0.00010281174225506171,0.000418534797212044,0.0,6.902648579905714e-05
0.13,0.11645200517998859,0.06393854831804212,0.4192883156984039,0.0,0.06763517109917513,0.0,-0.0001139799800122686,0.0005130234391365453,0.0,8.082476366421318e-05
0.14,0.12333053602054957,0.07520751016328255,0.3956164934412174,0.0,0.06476283018317247,0.0,-0.00012382895804829346,0.0006035188747014095,0.0,9.205645599232344e-05
0.15,0.12975031971785705,0.08671666440328937,0.3681222105792065,0.0,0.06083889486331779,0.0,-0.00013217823842140097,0.0006870393842772489,0.0,0.00010236517297257908
0.16,0.13584865240365068,0.0982320928266289,0.33838475285007946,0.0,0.05617682477747951,0.0,-0.00013893106720264854,0.0007613422924143212,0.0,0.00011148382341620512
0.17,0.14154040171401913,0.10951864192603557,0.3069487918998814,0.0,0.050905318434455525,0.0,-0.0001440660954476199,0.0008249781477433374,0.0,0.00011924526654330377
0.18,0.14680555123663377,0.12034464523496953,0.2744422339906397,0.0,0.045217784425159585,0.0,-0.00014762224868939422,0.0008771172897612729,0.0,0.00012555663731381438
