time_s,q_l_rad,q_r_rad,qd_l_rad_s,qd_r_rad_s,q_des_l_rad,q_des_r_rad,applied_torque_l_nm,applied_torque_r_nm
4.76837158203125e-07,-0.016191858798265457,-0.36836475133895874,-0.01356112863868475,-0.015783702954649925,0.0,-0.00011641301426227131,-0.00012084388960752584,0.0006936532530002534
0.010083675384521484,-0.016106639057397842,-0.3682369589805603,0.019477607682347298,0.03525456413626671,0.0,0.010416812210824439,-0.00011306906269598779,-0.05111760312689865
0.020178556442260742,-0.016191858798265457,-0.3682369589805603,-0.026187192648649216,0.03819430246949196,0.0,0.02086853748773733,-0.00010099128794347668,-0.10887498230561342
0.030063629150390625,-0.016191858798265457,-0.3683221638202667,-0.016968145966529846,9.43807972362265e-05,0.0,0.03073824350771944,-8.74882744225328e-05,-0.16297443358039354
0.040087223052978516,-0.016191858798265457,-0.3683221638202667,-0.028251908719539642,0.016112664714455605,0.0,0.04069700417654448,-6.659168696186985e-05,-0.21327915440859632
0.050290822982788086,-0.016234466806054115,-0.36840739846229553,-0.030924392864108086,0.019148632884025574,0.0,0.05035927596351816,-3.2172263832476045e-05,-0.25539900644387864
0.06008124351501465,-0.016191858798265457,-0.36857783794403076,-0.016787752509117126,-0.047231752425432205,0.0,0.05962572734750078,1.4218610109149786e-05,-0.2879618399792382
0.07008099555969238,-0.01614924892783165,-0.36853519082069397,-0.0017375136958435178,0.01862635836005211,0.0,0.06853349235870093,7.374314005196764e-05,-0.31026410226487194
0.08008098602294922,-0.016191858798265457,-0.3686204254627228,-0.016519905999302864,0.015799138695001602,0.0,0.07743023147815048,0.0001419078986841894,-0.3241848544059752
0.09018826484680176,-0.01614924892783165,-0.3686204254627228,0.013837744481861591,0.026906412094831467,0.0,0.08586805330805708,0.00021559012291641645,-0.3285563910714397
0.1000819206237793,-0.016106639057397842,-0.3686630427837372,0.029240978881716728,0.011949887499213219,0.0,0.09405562040369485,0.00028851611851773897,-0.32652512674917483
0.11008548736572266,-0.016191858798265457,-0.368748277425766,-0.022732768207788467,-0.02564157359302044,0.0,0.10180585061733498,0.00035962619058998167,-0.31775317200846814
0.12006568908691406,-0.016106639057397842,-0.3686630427837372,0.022278472781181335,0.012136292643845081,0.0,0.10939325002386394,0.0004250173810314964,-0.3050264588742063
