time_s,target_right_rad,actual_right_rad,torque_right_nm,right_flex,right_ext,target_left_rad,actual_left_rad,torque_left_nm,left_flex,left_ext
0.0,-0.00011691116769094612,-3.1715628119032843e-07,-0.0001944942049463814,1.0522005092185153e-05,0.0,0.0,-2.651221374198911e-07,-0.00012084624870744156,0.0,0.0
0.01,0.020446035712782595,8.21800827786863e-06,0.012752968582345972,0.0,0.0018401717582157407,0.0,-7.925426069145408e-07,-0.00012067761070571997,0.0,2.3860992367790204e-08
0.02,0.04015117936139982,3.243118033862065e-05,0.026773610110719222,0.0,0.0036128665217809762,0.0,-1.4505253212527663e-06,-0.00012032206542355692,0.0,7.132883462230867e-08
0.03,0.05885851152375281,7.437536506661561e-05,0.04027975474196123,0.0,0.005294347230907277,0.0,-2.1550090629052865e-06,-0.00011986066109111568,0.0,1.3054727891274895e-07
0.04,0.07649174964625896,0.0001340336508190985,0.05302492988600494,0.0,0.0068775636853073115,0.0,-2.8666309854797064e-06,-0.00011935667366989775,0.0,1.939508156614758e-07
0.05,0.09297954024100885,0.0002106236471334553,0.06493505480914119,0.0,0.008356095593117079,0.0,-3.5700204222488344e-06,-0.00011884288549647736,0.0,2.579967886931736e-07
0.06,0.10823039818623541,0.0003030589433202298,0.07594544258408278,0.0,0.009721779708519177,0.0,-4.260394812254639e-06,-0.00011833310257709959,0.0,3.213018380023951e-07
0.07,0.12215283836017135,0.0004256167360172488,0.0859791607865913,0.0,0.0109664801475166,0.0,-5.044444749073948e-06,-0.00011783195405415486,0.0,3.834355331029176e-07
0.08,0.13465537564104946,0.0006413712234728462,0.09486521162031011,0.0,0.0120806783014529,0.0,-6.254042958881787e-06,-0.00011727186455727917,0.0,4.5400002741665525e-07
0.09,0.14564652490710245,0.0010120623370267362,0.10244269117153734,0.0,0.013050463831526665,0.0,-7.96087182956178e-06,-0.00011643448332667758,0.0,5.628638662993609e-07
0.1,0.15503480103656306,0.0015837982487988116,0.10861352436414604,0.0,0.013862046482958268,0.0,-1.0095762952445701e-05,-0.00011524752549567275,0.0,7.164784646605603e-07
0.11,0.16272871890766405,0.0023869362111864825,0.11330887360077303,0.0,0.014503042859297871,0.0,-1.2544317894567495e-05,-0.00011374590727967733,0.0,9.086186657201132e-07
0.12,0.16863679339863819,0.0034363377440922165,0.11648651567271776,0.0,0.014962487146870655,0.0,-1.517866936533826e-05,-0.00011200651412829201,0.0,1.1289886105110746e-06
0.13,0.17266753938771823,0.004731895991339763,0.11812590363913589,0.0,0.015230808147926342,0.0,-1.7869476257432303e-05,-0.000110119980325854,0.0,1.3660802428804434e-06
0.14,0.17472979469580507,0.006259262216987614,0.1182225902675016,0.0,0.015299810883401876,0.0,-2.0491208246364025e-05,-0.00010817958091161469,0.0,1.6082528631689074e-06
