update,mean_rollout_reward,eval_reward,loss_policy,loss_value,loss_entropy
1,-15.62741418621029,nan,0.020260978490114212,68379.1796875,2.822404384613037
2,-15.07392466089332,nan,-0.07878488302230835,61989.00390625,2.8060760498046875
3,-14.521850065831899,nan,-0.004162035882472992,57252.98046875,2.795597553253174
4,-14.507403144507276,nan,-0.004289350472390652,57260.66796875,2.7878782749176025
5,-13.998323202707084,nan,0.0752449631690979,54230.828125,2.779053211212158
6,-14.112553050694949,nan,-0.030240150168538094,54033.7890625,2.770874500274658
7,-13.693488572882929,nan,0.04681677371263504,52123.77734375,2.7649078369140625
8,-12.96112180659924,nan,-0.070034921169281,44803.73828125,2.758378505706787
9,-12.169936728046485,nan,0.02957611344754696,39735.2265625,2.750669002532959
10,-11.709658830976323,-1076.982048098613,-0.03997991979122162,36287.53125,2.7408971786499023
11,-11.202370834749242,nan,0.0924319475889206,35578.328125,2.7295539379119873
12,-10.900029844481018,nan,0.04114343225955963,32477.80078125,2.720536947250366
13,-10.614696677016124,nan,-0.05948391929268837,29678.12890625,2.7118546962738037
14,-9.724014324196364,nan,-0.12421949952840805,24215.953125,2.7021543979644775
15,-9.757191460314514,nan,-0.03715680539608002,24585.76953125,2.687249183654785
16,-9.175194840290544,nan,-0.0036168349906802177,22344.69921875,2.6711208820343018
17,-8.479787791634624,nan,-0.001781427301466465,18833.23046875,2.654996395111084
18,-7.885124300944324,nan,-0.05250987038016319,15871.6162109375,2.6349122524261475
19,-8.156857304231682,nan,0.03404796123504639,17258.20703125,2.6159238815307617
20,-7.658055645546296,-4271.800505497334,-0.020421765744686127,15034.3740234375,2.599487781524658
21,-7.036395704079333,nan,-0.03163551539182663,12375.6201171875,2.585092067718506
22,-6.708040560297338,nan,-0.006039083003997803,11331.111328125,2.5661821365356445
23,-6.582131446146538,nan,0.03214339166879654,11125.583984375,2.5425190925598145
24,-6.712872206993295,nan,-0.02125430665910244,11147.4140625,2.520873785018921
25,-6.625400730450463,nan,0.065599225461483,11239.3037109375,2.4952149391174316
26,-6.448762768136576,nan,0.05269593000411987,10438.6396484375,2.473083972930908
27,-6.212409696039371,nan,-0.03267425298690796,9233.171875,2.454926013946533
28,-6.548525131111788,nan,0.006687641143798828,10560.0517578125,2.4397048950195312
29,-6.07289510175985,nan,-0.039079733192920685,8859.794921875,2.4278759956359863
30,-5.998644331624429,-4937.100213348899,0.007073204964399338,8667.669921875,2.415221691131592
31,-5.928151808758857,nan,0.026408862322568893,8587.5,2.400175094604492
32,-6.033638508237943,nan,-0.003718402236700058,8833.263671875,2.384758710861206
33,-6.3031679070922095,nan,-0.023351095616817474,9206.1318359375,2.3737566471099854
34,-5.774531704681752,nan,-0.009809710085391998,7716.697265625,2.362982749938965
35,-5.84070497871132,nan,-0.048389982432127,7817.9287109375,2.3491172790527344
36,-5.6659858057087975,nan,-0.003496222198009491,7286.41015625,2.335247039794922
37,-5.893604138447664,nan,-0.034902140498161316,7963.45166015625,2.3199687004089355
38,-5.784733039054942,nan,-0.042679958045482635,7727.2978515625,2.3015356063842773
39,-5.561945923180896,nan,0.012485036626458168,7034.833984375,2.287489414215088
40,-5.590355962263252,-4634.874255338671,0.029116982594132423,7321.4677734375,2.2737905979156494
41,-5.845334724556613,nan,0.012729048728942871,7896.740234375,2.257312774658203
42,-5.683092872864872,nan,-0.05283230543136597,7216.3818359375,2.234067678451538
43,-5.669144302400915,nan,0.0005377903580665588,7276.48388671875,2.2157528400421143
44,-5.501901528791148,nan,0.00466504693031311,6844.06201171875,2.2008450031280518
45,-5.647202307158453,nan,-0.02072913944721222,6964.4296875,2.182589530944824
46,-5.379605822319672,nan,0.0018959827721118927,6192.25439453125,2.168825149536133
47,-5.82489474157234,nan,-0.003310319036245346,7636.564453125,2.1489500999450684
48,-5.633616722046686,nan,-0.08824130892753601,6842.166015625,2.1299610137939453
49,-5.181998657414768,nan,0.05511826276779175,5986.2451171875,2.1103568077087402
50,-5.377815336839485,-4105.835020973684,-0.12055476754903793,5802.50732421875,2.090071201324463
