time_s,q_l_rad,q_r_rad,qd_l_rad_s,qd_r_rad_s,q_des_l_rad,q_des_r_rad,pid_torque_l_nm,pid_torque_r_nm,agent_torque_l_nm,agent_torque_r_nm,combined_torque_l_nm,combined_torque_r_nm
2.86102294921875e-06,0.011930842883884907,-0.3386654853820801,0.018878504633903503,-0.015546664595603943,-0.175173097524032,0.5585071065792783,-0.16839354636712522,0.8074553327652225,0.2975037693977356,-0.9280782341957092,0.4658973157648608,-0.1206229014304867
0.11923718452453613,0.011760402470827103,-0.33858028054237366,-0.06932399421930313,0.038291916251182556,-0.12967059366595446,0.5974549800250247,-0.1272878965231034,0.8424317345106586,0.23515337705612183,-0.9931647181510925,0.36244127357922523,-0.15073298364043397
0.12025117874145508,0.0118882330134511,-0.33870813250541687,-0.013589237816631794,-0.022566694766283035,-0.12892699683399425,0.5974809994481917,-0.12673370686270083,0.8425702187582477,0.2854583263397217,-0.9940987229347229,0.4121920332024225,-0.15152850417647523
0.12096357345581055,0.0118882330134511,-0.33870813250541687,-0.013589237816631794,-0.022566694766283035,-0.12840457328969682,0.5974992797295043,-0.12626352567283314,0.8425866710114291,0.2540302276611328,-0.9941112399101257,0.380293753333966,-0.1515245688986966
0.12165999412536621,0.011930842883884907,-0.33862289786338806,0.0077349282801151276,0.024347150698304176,-0.12789386406182102,0.5975171501116042,-0.12584223625113533,0.842526043177493,0.25446581840515137,-0.9941551685333252,0.3803080546562867,-0.15162912535583217
0.12232160568237305,0.011930842883884907,-0.33862289786338806,0.0077349282801151276,0.024347150698304176,-0.12740868155331184,0.597534127280494,-0.12540557199347707,0.8425413226294939,0.2542135715484619,-0.9941651821136475,0.379619143541939,-0.15162385948415358
0.12294435501098633,0.011930842883884907,-0.33862289786338806,0.0077349282801151276,0.024347150698304176,-0.1269519980534106,0.5975501072318959,-0.12499455684356595,0.8425557045857556,0.2543962001800537,-0.9941743016242981,0.3793907570236197,-0.15161859703854252
0.12376070022583008,0.012016062624752522,-0.33862289786338806,0.04671468213200569,0.01808762364089489,-0.12635334403210052,0.5975710549170413,-0.12453246599116774,0.8425745575023864,0.24740415811538696,-0.9941582679748535,0.3719366241065547,-0.1515837104724671
0.1244513988494873,0.012016062624752522,-0.33862289786338806,0.04671468213200569,0.01808762364089489,-0.1258468309772713,0.5975887784695725,-0.12407660424182146,0.8425905086996645,0.25189054012298584,-0.9941689968109131,0.37596714436480727,-0.15157848811124863
0.1251847743988037,0.012016062624752522,-0.33862289786338806,0.034529078751802444,0.029139883816242218,-0.12530902146513645,0.5976075971259707,-0.12359257568090008,0.8426074454904229,0.24840635061264038,-0.9941954016685486,0.3719989262935405,-0.1515879561781257
