time_s,q_rad,qd_rad_s,q_des_rad,torque_raw_nm,torque_clip_nm,torque_cmd_nm,torque_scale_gain,u_flex_0,u_flex_1,u_flex_2,u_ext_0,u_ext_1,u_ext_2,a_flex_0,a_flex_1,a_flex_2,a_ext_0,a_ext_1,a_ext_2
0.0012934207916259766,-0.005624540150165558,-0.008387475274503231,-0.0034206066260745074,1.4479277158855643,1.4479277158855643,1.4479277158855643,1.0,0.42391113801751673,0.33912891041401344,0.25434668281051004,0.0,0.0,0.0,0.21195556900875837,0.16956445520700672,0.12717334140525502,0.0,0.0,0.0
0.010200262069702148,-0.005624540150165558,-0.0009150129044428468,0.011462842527316972,1.51073698566692,1.51073698566692,1.51073698566692,1.0,0.42455594475953257,0.33964475580762615,0.2547335668557196,0.0,0.0,0.0,0.3182557568841454,0.25460460550731645,0.1909534541304873,0.0,0.0,0.0
0.020153284072875977,-0.002002677181735635,0.44108515977859497,0.02809447345931261,1.1877412149505997,1.1877412149505997,1.1877412149505997,1.0,0.46579593787355306,0.3726367502988424,0.2794775627241319,0.0,0.0,0.0,0.39202584737884927,0.31362067790307946,0.2352155084273096,0.0,0.0,0.0
0.03009939193725586,0.0014061350375413895,0.36388182640075684,0.045972421876875905,1.3220339255711004,1.3220339255711004,1.3220339255711004,1.0,0.4583828756666555,0.3667063005333243,0.27502972539999326,0.0,0.0,0.0,0.42520436152275237,0.3401634892182019,0.25512261691365146,0.0,0.0,0.0
0.040183305740356445,0.006178472191095352,0.5617709159851074,0.06421674301657923,1.2076344785209665,1.2076344785209665,1.2076344785209665,1.0,0.47849141067481843,0.38279312853985475,0.2870948464048911,0.0,0.0,0.0,0.4518478860987854,0.3614783088790283,0.2711087316592713,0.0,0.0,0.0
0.05016136169433594,0.01631968840956688,0.9885484576225281,0.08314021645355035,0.8718912794728296,0.8718912794728296,0.8718912794728296,1.0,0.4591177518084038,0.3672942014467231,0.2754706510850423,0.0,0.0,0.0,0.4554828189535946,0.3643862551628757,0.2732896913721568,0.0,0.0,0.0
0.06018495559692383,0.024969549849629402,0.9586660265922546,0.10234474727276976,0.946280642767316,0.946280642767316,0.946280642767316,1.0,0.49542118725524914,0.3963369498041993,0.2972527123531495,0.0,0.0,0.0,0.47545200310442187,0.3803616024835375,0.28527120186265315,0.0,0.0,0.0
0.07018852233886719,0.03498293459415436,1.1080647706985474,0.12205096993755143,0.8488282582249582,0.8488282582249582,0.8488282582249582,1.0,0.46034363640023895,0.3682749091201912,0.27620618184014334,0.0,0.0,0.0,0.4678978197523304,0.37431825580186434,0.2807386918513982,0.0,0.0,0.0
0.08009696006774902,0.04972605034708977,1.5023621320724487,0.14177927484597505,0.5231521784060659,0.5231521784060659,0.5231521784060659,1.0,0.3118632646053312,0.24949061168426495,0.18711795876319873,0.0,0.0,0.0,0.38988054217883084,0.31190443374306465,0.23392832530729846,0.0,0.0,0.0
0.0901632308959961,0.06161428242921829,1.1761298179626465,0.1620903933160539,0.840769757680808,0.840769757680808,0.840769757680808,1.0,0.4646520729884549,0.37172165839076393,0.2787912437930729,0.0,0.0,0.0,0.42726630758364287,0.3418130460669143,0.2563597845501857,0.0,0.0,0.0
0.10010266304016113,0.07405644655227661,1.3228949308395386,0.18231351338655225,0.7267468359515462,0.7267468359515462,0.7267468359515462,1.0,0.416281349342683,0.3330250794741464,0.24976880960560977,0.0,0.0,0.0,0.4217738284631629,0.33741906277053035,0.25306429707789774,0.0,0.0,0.0
0.11009955406188965,0.0922083705663681,1.8258198499679565,0.2027148383076727,0.2809270542478138,0.2809270542478138,0.2809270542478138,1.0,0.182250673949869,0.1458005391598952,0.10935040436992138,0.0,0.0,0.0,0.3020122512065159,0.24160980096521278,0.18120735072390956,0.0,0.0,0.0
0.12008452415466309,0.1098063588142395,1.5927451848983765,0.2231506315182993,0.4913567622700811,0.4913567622700811,0.4913567622700811,1.0,0.3015639903452065,0.2412511922761652,0.1809383942071239,0.0,0.0,0.0,0.3017881207758612,0.241430496620689,0.18107287246551673,0.0,0.0,0.0
0.1300795078277588,0.12433642894029617,1.462019920349121,0.2435272294712239,0.6065605657249085,0.6065605657249085,0.6065605657249085,1.0,0.36133286894036765,0.2890662951522941,0.2167997213642206,0.0,0.0,0.0,0.33156049485811445,0.2652483958864915,0.19893629691486867,0.0,0.0,0.0
0.14008665084838867,0.13818472623825073,1.699741244316101,0.26381292226595726,0.3826171016195773,0.3826171016195773,0.3826171016195773,1.0,0.24191828257361817,0.19353462605889452,0.1451509695441709,0.0,0.0,0.0,0.2867393887158663,0.229391510972693,0.1720436332295198,0.0,0.0,0.0
0.15015482902526855,0.15889325737953186,2.0230438709259033,0.2840611658324818,0.07177360572344664,0.07177360572344664,0.07177360572344664,1.0,0.049360256912027146,0.03948820552962172,0.02961615414721629,0.0,0.0,0.0,0.1680498228139467,0.13443985825115737,0.10082989368836805,0.0,0.0,0.0
0.1601095199584961,0.1791330873966217,1.749346137046814,0.3037319635142877,0.28911957704428914,0.28911957704428914,0.28911957704428914,1.0,0.1860227931066049,0.14881823448528395,0.11161367586396297,0.0,0.0,0.0,0.1770363079602758,0.14162904636822066,0.1062217847761655,0.0,0.0,0.0
0.1701045036315918,0.19191612303256989,1.395218849182129,0.3233084595295849,0.581780708294069,0.581780708294069,0.581780708294069,1.0,0.34401056484459214,0.27520845187567367,0.20640633890675528,0.0,0.0,0.0,0.26052343640243397,0.20841874912194716,0.1563140618414604,0.0,0.0,0.0
0.1800849437713623,0.20755405724048615,1.5807832479476929,0.34220532992915575,0.37528257324315334,0.37528257324315334,0.37528257324315334,1.0,0.23251162165195052,0.18600929732156044,0.13950697299117035,0.0,0.0,0.0,0.24651752902719226,0.1972140232217538,0.1479105174163154,0.0,0.0,0.0
0.19008588790893555,0.2266007959842682,1.8795188665390015,0.36101701759313887,0.06258019441618332,0.06258019441618332,0.06258019441618332,1.0,0.041856890818767714,0.03348551265501416,0.025114134491260622,0.0,0.0,0.0,0.14418720992297998,0.11534976793838397,0.08651232595378801,0.0,0.0,0.0
0.20006799697875977,0.24586059153079987,1.7023345232009888,0.3787771240677983,0.1652429572653919,0.1652429572653919,0.1652429572653919,1.0,0.10601031780746434,0.08480825424597147,0.06360619068447862,0.0,0.0,0.0,0.12509876386522217,0.10007901109217772,0.07505925831913332,0.0,0.0,0.0
0.21016621589660645,0.2579192519187927,1.2111177444458008,0.39671958634901316,0.5555940657272499,0.5555940657272499,0.5555940657272499,1.0,0.31734531169628016,0.25387624935702413,0.1904071870177681,0.0,0.0,0.0,0.22122203778075117,0.17697763022460095,0.13273322266845072,0.0,0.0,0.0
0.22015881538391113,0.2700205445289612,1.2038244009017944,0.4130419270876593,0.4977970378026563,0.4977970378026563,0.4977970378026563,1.0,0.2843153862823725,0.22745230902589803,0.1705892317694235,0.0,0.0,0.0,0.2527687120315618,0.20221496962524949,0.1516612272189371,0.0,0.0,0.0
0.23015880584716797,0.2823348641395569,1.4216504096984863,0.42937634056353763,0.2371817273818743,0.2371817273818743,0.2371817273818743,1.0,0.1428406432268669,0.11427251458149353,0.08570438593612015,0.0,0.0,0.0,0.19780467762921436,0.1582437421033715,0.11868280657752862,0.0,0.0,0.0
0.2401576042175293,0.2994215488433838,1.5334930419921875,0.4441465807917093,0.062408745329541396,0.062408745329541396,0.062408745329541396,1.0,0.03869988428957564,0.03095990743166051,0.023219930573745384,0.0,0.0,0.0,0.118252280959395,0.09460182476751601,0.070951368575637,0.0,0.0,0.0
