time_s,hip_pos_target_r,hip_pos_target_l,hip_pos_r,hip_pos_l,hip_vel_target_r,hip_vel_target_l,hip_vel_r,hip_vel_l,pid_output_r,pid_output_l,agent_torque_r,agent_torque_l,combined_torque_r,combined_torque_l
0.0,0.0,0.0,-0.00519843865185976,-0.07716698199510574,1.6710131783785793,0.0,0.01123244408518076,-0.05746690183877945,0.0129960966296494,0.19291745498776436,0.946962833404541,-0.7377607822418213,0.0129960966296494,0.19291745498776436
0.01,0.016710131783785793,0.0,-0.005283658858388662,-0.0769539326429367,1.6710131783785793,0.0,-0.020376436412334442,0.0032750519458204508,0.2229379965085831,0.1902543380856514,0.9999979138374329,-0.8256423473358154,0.2229379965085831,0.1902543380856514
0.02,0.033420263567571586,0.0,-0.005283658858388662,-0.0769539326429367,1.733219752188944,0.0,-0.020376436412334442,0.0032750519458204508,0.26386112390275857,0.19238483160734177,0.9999989867210388,-0.7801718711853027,0.26386112390275857,0.19238483160734177
0.03,0.051374526827564666,0.0,-0.005283658858388662,-0.0769113227725029,1.8023381675337942,0.0,-0.017661141231656075,0.029136886820197105,0.32118809681481414,0.19185220822691917,0.9999995231628418,-0.756027340888977,0.32118809681481414,0.19185220822691917
0.04,0.06946702691824747,0.0,-0.005283658858388662,-0.0769113227725029,1.8519230650782323,0.0,-0.017661141231656075,0.029136886820197105,0.3678017153484183,0.19227830693125725,0.9999998211860657,-0.7282702922821045,0.3678017153484183,0.19227830693125725
0.05,0.08841298812912933,0.0,-0.005283658858388662,-0.0769113227725029,1.905264385090676,0.0,-0.017661141231656075,0.029136886820197105,0.4237012295776137,0.19227830693125725,0.9999999403953552,-0.7232229709625244,0.4237012295776137,0.19227830693125725
0.06,0.10757231462006098,0.0,-0.00519843865185976,-0.0769113227725029,1.9422276063692152,0.0,0.018567312508821487,0.024136578664183617,0.47266794602382933,0.19227830693125725,0.9999999403953552,-0.7012956142425537,0.47266794602382933,0.19227830693125725
0.07,0.12725754025651365,0.0,-0.00519843865185976,-0.0769113227725029,1.9797918310492921,0.0,0.018567312508821487,0.024136578664183617,0.5279922036354603,0.19227830693125725,1.0,-0.6690186262130737,0.5279922036354603,0.19227830693125725
0.08,0.14716815124104682,0.0,-0.00519843865185976,-0.0769113227725029,2.0041333760619144,0.0,0.018567312508821487,0.024136578664183617,0.5800225845775981,0.19227830693125725,1.0,-0.6327911615371704,0.5800225845775981,0.19227830693125725
0.09,0.1673402077777519,0.0,-0.005241048522293568,-0.07699654251337051,2.025920505409574,0.0,0.003542920108884573,-0.03337037190794945,0.6335998048215027,0.19334355369210243,1.0,-0.6443130970001221,0.6335998048215027,0.19334355369210243
