time_s,q_l_rad,q_r_rad,qd_l_rad_s,qd_r_rad_s,q_des_l_rad,q_des_r_rad,applied_torque_l_nm,applied_torque_r_nm
2.384185791015625e-07,-0.02978449873626232,0.020154602825641632,-4.6438599383691326e-05,0.025544200092554092,0.0,-0.00011666209097660872,-0.00012084050781242068,0.0006948527762974795
0.010059833526611328,-0.02995493821799755,0.020154602825641632,-0.069131039083004,0.030529597774147987,0.0,0.01039211173612846,-0.00010216788838925565,-0.050996291915045656
0.02006053924560547,-0.029614057391881943,0.020069383084774017,0.0942690446972847,-0.016493303701281548,0.0,0.020750700308751945,-7.56521923504444e-05,-0.10829869406428236
0.030068635940551758,-0.02978449873626232,0.020111992955207825,-0.0037975197192281485,0.014030639082193375,0.0,0.030743219961059953,-5.313502649227482e-05,-0.1634070569283553
0.04007601737976074,-0.029741887003183365,0.020069383084774017,0.020086899399757385,0.008095587603747845,0.0,0.04068639299412544,-3.401555765787335e-05,-0.21472585795281857
0.05006122589111328,-0.029912328347563744,0.019941551610827446,-0.05271504446864128,-0.006037885323166847,0.0,0.05014185960884714,-9.127775808906228e-06,-0.25829427629048
0.06007790565490723,-0.029741887003183365,0.019856330007314682,0.02405964396893978,-0.016576265916228294,0.0,0.05962275396797253,2.804481947425608e-05,-0.29499417567432723
0.0700831413269043,-0.02978449873626232,0.019813720136880875,0.01591459847986698,-0.02375887893140316,0.0,0.06853540235228484,7.859285269609137e-05,-0.32172339429004776
0.08008456230163574,-0.029869718477129936,0.019771110266447067,-0.02308645285665989,-0.003729014890268445,0.0,0.07743321751307465,0.00014053398319856995,-0.3408228832910006
0.09015274047851562,-0.029869718477129936,0.019685890525579453,-0.026115410029888153,-0.015235437080264091,0.0,0.08583863923014083,0.000211070063842587,-0.35077766396690946
0.10016870498657227,-0.029741887003183365,0.019685890525579453,0.030349355190992355,-0.030365269631147385,0.0,0.09412286690266496,0.0002857125047256966,-0.3542558922089939
0.11016297340393066,-0.02995493821799755,0.01972850225865841,-0.06883922219276428,0.01689077727496624,0.0,0.10186478451425204,0.0003612701778402915,-0.35076638599826854
0.12016463279724121,-0.029741887003183365,0.019771110266447067,0.03077053464949131,0.02885802648961544,0.0,0.10946355378539789,0.0004350018031162854,-0.34285630835222614
0.13015317916870117,-0.02978449873626232,0.019771110266447067,0.0024994497653096914,0.023020757362246513,0.0,0.11655736994359284,0.0005043461815060257,-0.3304381108574374
0.14009881019592285,-0.02982710860669613,0.019685890525579453,0.005625118501484394,-0.00950112845748663,0.0,0.12339397002904089,0.0005672986232168683,-0.31552008516172614
0.15008759498596191,-0.029741887003183365,0.01955806091427803,0.028945952653884888,-0.07061221450567245,0.0,0.12980373805445738,0.0006230610186791443,-0.29808604031776553
0.16014742851257324,-0.02982710860669613,0.01972850225865841,-0.017346931621432304,0.01199386827647686,0.0,0.13593256501712742,0.0006708169710465215,-0.27927196727556697
0.17014384269714355,-0.02982710860669613,0.01972850225865841,0.0003334523062221706,-0.006302007008343935,0.0,0.14161613704483883,0.0007095915979733742,-0.25973264598021256
