time_s,q_rad,qd_rad_s,q_des_rad,torque_raw_nm,torque_clip_nm,torque_cmd_nm,torque_scale_gain,u_flex_0,u_flex_1,u_flex_2,u_ext_0,u_ext_1,u_ext_2,a_flex_0,a_flex_1,a_flex_2,a_ext_0,a_ext_1,a_ext_2
0.0014185905456542969,0.021816398948431015,-0.04365966096520424,0.665995306177958,0.21394535994357533,0.21394535994357533,0.21394535994357533,1.0,0.30178263834801355,0.3806789057563942,0.26993557740162644,0.2986155170195874,0.11951840843431444,0.030058313076723714,0.15089131917400678,0.1903394528781971,0.13496778870081322,0.1493077585097937,0.05975920421715722,0.015029156538361857
0.010079145431518555,0.021944228559732437,0.020728399977087975,0.7006666143420939,0.3271001553460238,0.3271001553460238,0.3271001553460238,1.0,0.3126604100121962,0.3897210649319775,0.26982159809810846,0.28773725838613967,0.11045984872608533,0.030168136331902254,0.23177586459310148,0.29003025890508727,0.20239469339946084,0.21852250844796667,0.08510952647162127,0.022598646435132055
0.020198822021484375,0.022327719256281853,0.10114108771085739,0.7391995779181199,0.39063917535002224,0.39063917535002224,0.39063917535002224,1.0,0.32533900178850517,0.39925632267119393,0.26961650342032556,0.2750571431242565,0.10090410484561602,0.030368381055862842,0.27855743319080334,0.3446432907881406,0.2360055984098932,0.24678982578611158,0.09300681565861865,0.02648351374549745
0.030149221420288086,0.022285109385848045,0.0038605709560215473,0.7748333899116475,0.48010859431283337,0.48010859431283337,0.48010859431283337,1.0,0.3377417758725512,0.4074800042808301,0.2693393976308193,0.2626518717899002,0.09265904014977852,0.030640727535469564,0.3081496045316773,0.37606164753448534,0.2526724980203563,0.2547208487880059,0.09283292790419859,0.028562120640483506
0.040183067321777344,0.02249816060066223,0.004314026795327663,0.8083344430610412,0.5324643542580791,0.5324643542580791,0.5324643542580791,1.0,0.3501528888110152,0.4145515675684926,0.26898439565002125,0.2502372437116325,0.08556483693702549,0.03099094288797445,0.3291512466713462,0.39530660755148894,0.2608284468351888,0.2524790462498192,0.08919888242061204,0.02977653176422898
0.050084829330444336,0.023179924115538597,0.060704685747623444,0.8388533699638614,0.5608184128818028,0.5608184128818028,0.5608184128818028,1.0,0.36227571679166004,0.4202743678553289,0.2685598905380995,0.2381099741333197,0.0798188055571124,0.03141073974294761,0.3457134817315031,0.4077904877034089,0.26469416868664414,0.24529451019156945,0.08450884398886221,0.030593635753588297
0.06015968322753906,0.02394690550863743,0.17463144659996033,0.8671819330636042,0.5675750772856745,0.5675750772856745,0.5675750772856745,1.0,0.3744519782594014,0.42477197617602835,0.2680526090872172,0.22592821306315147,0.07529683607801602,0.031913249317186324,0.36008272999545227,0.41628123193971867,0.26637338888693063,0.23561136162736046,0.07990284003343912,0.03125344253538731
0.07007169723510742,0.025097379460930824,0.07182259112596512,0.8922592804257585,0.6334422987753636,0.6334422987753636,0.6334422987753636,1.0,0.3862453026790228,0.4278583432770742,0.2674796650198834,0.2141285265291429,0.072185973467975,0.032481519980473314,0.37316401633723756,0.4220697876083964,0.266926526953407,0.22486994407825167,0.07604440675070706,0.03186748125793031
0.08007287979125977,0.02548087202012539,0.01699836179614067,0.914660047930469,0.68240470510803,0.68240470510803,0.68240470510803,1.0,0.39792768814647017,0.4296028795637369,0.2668276785007698,0.20243878142580832,0.07041638063407116,0.03312881547523429,0.3855458522418539,0.42583633358606665,0.2668771027270884,0.21365436275202998,0.07323039369238911,0.0324981483665823
0.09009027481079102,0.026759177446365356,0.21695974469184875,0.9340999162476208,0.6525201220246113,0.6525201220246113,0.6525201220246113,1.0,0.4093809613443431,0.42995770307223447,0.26610064743178746,0.190977208467099,0.07003631073332886,0.03385117546976235,0.3974634067930985,0.42789701832915056,0.26648887507943797,0.20231578560956448,0.07163335221285899,0.033174661918172324
0.10007953643798828,0.031105412170290947,0.3868860900402069,0.9504431651862288,0.6295417751967763,0.6295417751967763,0.6295417751967763,1.0,0.4205259943798294,0.4289209862155413,0.26530238045528143,0.17982299486243913,0.07104789817403473,0.034644814894687806,0.4089947005864639,0.4284090022723459,0.2658956277673597,0.1910693902360018,0.07134062519344686,0.033909738406430065
0.11007428169250488,0.03481249511241913,0.34165796637535095,0.9637202487692001,0.6642307690510459,0.6642307690510459,0.6642307690510459,1.0,0.43137308452510637,0.42650197715144494,0.26443094437903025,0.1689658387031614,0.07344200435440912,0.035511654187955,0.42018389255578514,0.4274554897118954,0.26516328607319495,0.1800176144695816,0.07239131477392799,0.034710696297192534
0.12008547782897949,0.03822130709886551,0.44467541575431824,0.9739207847485787,0.6543062044960264,0.6543062044960264,0.6543062044960264,1.0,0.4419056836197919,0.42271221494931693,0.263485694822293,0.15842229967829904,0.077207256581283,0.03645233570455769,0.4310447880877885,0.4250838523306062,0.264324490447744,0.16921995707394033,0.07479928567760549,0.03558151600087511
0.13007044792175293,0.044953711330890656,0.722647488117218,0.9810110028890382,0.5949371966937176,0.5949371966937176,0.5949371966937176,1.0,0.4520528548540468,0.4175990673397128,0.2624713624237376,0.14826339003735964,0.08229657991451908,0.037462151102165456,0.4415488214709177,0.4213414598351595,0.2633979264357408,0.15874167355565,0.07854793279606229,0.036521833551520284
0.14006996154785156,0.052708759903907776,0.7244842648506165,0.9850501579220766,0.6059293831186716,0.6059293831186716,0.6059293831186716,1.0,0.46183101149307293,0.4111835539915797,0.2613845721654657,0.1384726797053297,0.08868904064573732,0.038544459741328335,0.4516899164819953,0.41626250691336963,0.2623912493006032,0.14860717663048983,0.0836184867208998,0.037533146646424306
0.15012192726135254,0.05807763710618019,0.6047356128692627,0.986067392164846,0.6459508598426169,0.6459508598426169,0.6459508598426169,1.0,0.47124843567961155,0.40347838942335723,0.26022118195238675,0.12904186291253858,0.09637202484637408,0.03970339000596085,0.4614691760808034,0.40987044816836343,0.261306215626495,0.13882451977151422,0.08999525578363694,0.03861826832619258
