time_s,q_rad,qd_rad_s,q_des_rad,torque_raw_nm,torque_clip_nm,torque_cmd_nm,torque_scale_gain,u_flex_0,u_flex_1,u_ext_0,u_ext_1,a_flex_0,a_flex_1,a_ext_0,a_ext_1
0.0006930828094482422,0.024032125249505043,-0.01260716188699007,0.5154114897390271,0.136121680062222,0.136121680062222,0.136121680062222,1.0,0.3008709517832096,0.3798862588622075,0.29952721013427286,0.12031237853949578,0.1504354758916048,0.18994312943110375,0.14976360506713643,0.06015618926974789
0.010069131851196289,0.023989515379071236,-0.025232413783669472,0.5635240420357381,0.22885316096466674,0.22885316096466674,0.22885316096466674,1.0,0.31264784270595924,0.3897110684899017,0.2877498266908456,0.110469864755876,0.231541659298782,0.28982709896050274,0.218756715878991,0.08531302701281195
0.020092487335205078,0.024032125249505043,-0.04043835401535034,0.6125508169383423,0.3005774244700477,0.3005774244700477,0.3005774244700477,1.0,0.3252060622024212,0.39916214911369385,0.2751901040554174,0.10099850056334522,0.2783738607506016,0.3444946240370983,0.2469734099672042,0.09315576378807858
0.030164718627929688,0.024287788197398186,0.001863633980974555,0.6590795516743471,0.3478049491812195,0.3478049491812195,0.3478049491812195,1.0,0.33776102692364596,0.40749188700602124,0.26263261607964544,0.09264712324767405,0.3080674438371238,0.37599325552155977,0.25480301302342484,0.09290144351787631
0.040062904357910156,0.024415617808699608,0.02606952004134655,0.7019210545217143,0.3906269363869561,0.3906269363869561,0.3906269363869561,1.0,0.35000494816221905,0.4144743590612895,0.2503852323472293,0.08564232229533356,0.32903619599967143,0.39523380729142465,0.2525941226853271,0.08927188290660494
0.0500645637512207,0.024415617808699608,-0.018561404198408127,0.7421171441970287,0.4443308815855421,0.4443308815855421,0.4443308815855421,1.0,0.36225105276963965,0.4202639604388043,0.23813464822548674,0.07982926130237714,0.34564362438465557,0.4077488838651145,0.24536438545540692,0.08455057210449105
0.06015419960021973,0.024628669023513794,0.014685474336147308,0.7793453278650737,0.47639587074663253,0.47639587074663253,0.47639587074663253,1.0,0.37444539997209975,0.4247698985768132,0.22593479461036534,0.07529892710120059,0.36004451217837763,0.41625939122096384,0.23564959003288613,0.07992474960284582
0.07006072998046875,0.024628669023513794,-0.00854730885475874,0.8125081936229565,0.5180520047095312,0.5180520047095312,0.5180520047095312,1.0,0.38623236676327627,0.4278556716803594,0.21414147000015535,0.07218867238867888,0.3731384394708269,0.4220575314506616,0.22489553001652074,0.07605671099576235
0.0801243782043457,0.02484172023832798,0.05620516091585159,0.8426361363831033,0.5360086467727119,0.5360086467727119,0.5360086467727119,1.0,0.3979872282157408,0.4296082745891701,0.2023792010468401,0.07041085603406544,0.3855628338432838,0.42583290301991583,0.21363736553168042,0.07323378351491389
0.0901188850402832,0.024799108505249023,0.0008388101123273373,0.868908777879122,0.5789671321654566,0.5789671321654566,0.5789671321654566,1.0,0.4094132891030435,0.4299567153779773,0.1909448556930235,0.07003722629571776,0.3974880614731636,0.42789480919894657,0.20229111061235194,0.07163550490531582
0.10005807876586914,0.025054771453142166,0.09663664549589157,0.8913600706495531,0.5832449650289986,0.5832449650289986,0.5832449650289986,1.0,0.420502369697359,0.42892469755454476,0.179846640216921,0.07104424062675271,0.4089952155852613,0.4284097533767457,0.19106887541463646,0.07133987276603426
0.11018729209899902,0.025097379460930824,0.05519816279411316,0.9104227459824167,0.6165773134738548,0.6165773134738548,0.6165773134738548,1.0,0.4314938878016597,0.4264667849738347,0.1688449166706153,0.07347691706976275,0.42024455169346053,0.4274382691752902,0.17995689604262588,0.07240839491789851
0.12005782127380371,0.024926939979195595,-0.040871813893318176,0.9252712688972594,0.6594940326196319,0.6594940326196319,0.6594940326196319,1.0,0.4418770694624158,0.422724544124257,0.15845094521496464,0.07719499434348279,0.43106081057793816,0.42508140664977356,0.16920392062879525,0.07480169463069064
0.13016629219055176,0.025097379460930824,-0.02785792574286461,0.9366699610506026,0.6736153219863452,0.6736153219863452,0.6736153219863452,1.0,0.4521484406338939,0.41754365486243217,0.14816768767407623,0.08235176731504618,0.44160462560591607,0.42131253075610287,0.15868580415143574,0.07857673097286841
0.1401369571685791,0.025566091760993004,0.0770767331123352,0.9441689726106106,0.6627562825272972,0.6627562825272972,0.6627562825272972,1.0,0.46189517256443513,0.41113630696347947,0.13840843190224444,0.08873613635097297,0.4517498990851756,0.41622441885979117,0.1485471180268401,0.08365643366192069
0.1501617431640625,0.026290463283658028,0.13302049040794373,0.9480149692964394,0.6603154023050073,0.6603154023050073,0.6603154023050073,1.0,0.4712848845691351,0.4034454419317619,0.12900535947832473,0.09640488669372574,0.46151739182715534,0.40983493039577656,0.1387762387525824,0.09003066017782321
0.16020917892456055,0.02859141305088997,0.3072383403778076,0.9482329004419984,0.6278448706122587,0.6278448706122587,0.6278448706122587,1.0,0.48025949173452565,0.39454076090595114,0.12001662241527358,0.10528857025169838,0.4708884417808405,0.40218784565086385,0.129396430583928,0.0976596152147608
0.17005443572998047,0.030977582558989525,0.24168866872787476,0.9450139495860308,0.6465628760468669,0.6465628760468669,0.6465628760468669,1.0,0.48860775250077626,0.38472027259803965,0.11165383282677874,0.11508977493832159,0.47974809714080835,0.39345405912445175,0.12052513170535337,0.1063746950765412
0.1800556182861328,0.034556835889816284,0.4493887722492218,0.9383873042312278,0.6012369190990718,0.6012369190990718,0.6012369190990718,1.0,0.49661528379558534,0.37371077351388843,0.10363088701057127,0.12608114351673058,0.4881816904681968,0.3835824163191701,0.11207800935796232,0.1162279192966359
0.19005894660949707,0.04009615257382393,0.5565272569656372,0.928518438618539,0.5757565651211121,0.5757565651211121,0.5757565651211121,1.0,0.5041275871259481,0.3617417563317416,0.09610254365841317,0.13803363627110263,0.49615463879707244,0.37266208632545583,0.10409027650818775,0.12713077778386928
0.2000563144683838,0.04529459401965141,0.48513686656951904,0.9155804459134304,0.5858004874963498,0.5858004874963498,0.5858004874963498,1.0,0.5111198916916888,0.34891597459745916,0.08909362742255797,0.1508446398427692,0.5036372652443806,0.3607890304614575,0.09659195196537286,0.13898770881331923
0.21005654335021973,0.05113218352198601,0.6125490665435791,0.8997444486158482,0.5506718784065288,0.5506718784065288,0.5506718784065288,1.0,0.5175809403600952,0.33532171081384027,0.08261542301884556,0.16442597218131638,0.5106091028022379,0.3480553706376489,0.0896036874921092,0.1517068404973178
0.22002434730529785,0.057992417365312576,0.708147406578064,0.8812753252798139,0.520150168227284,0.520150168227284,0.520150168227284,1.0,0.5234740729744393,0.3211148092318957,0.0767046966040007,0.17862192587375325,0.5170415878883385,0.3345850899347723,0.08315419204805495,0.16516438318553553
0.23006677627563477,0.06476743519306183,0.670659601688385,0.860170618038351,0.5147167420594537,0.5147167420594537,0.5147167420594537,1.0,0.5288440895717175,0.30624929655797367,0.07131650086583952,0.19347845434065383,0.522942838730028,0.32041719324637297,0.07723534645694724,0.17932141876309468
0.24005556106567383,0.07303380221128464,0.8449122309684753,0.836916771971998,0.46397917314076365,0.46397917314076365,0.46397917314076365,1.0,0.5336071112153918,0.29102783084398837,0.06653499126445742,0.2086930898892445,0.5282749749727099,0.3057225120451807,0.07188516886070233,0.1940072543261696
0.25006723403930664,0.08095929026603699,0.8226439952850342,0.8115821213931252,0.45084338806298957,0.45084338806298957,0.45084338806298957,1.0,0.5377902239659128,0.27545394103767007,0.062332988838778,0.22426229454119964,0.5330325994693114,0.29058822654142535,0.06710907884974016,0.2091347744336846
0.26019811630249023,0.08896999806165695,0.7926412224769592,0.7841299576738902,0.43718475603507967,0.43718475603507967,0.43718475603507967,1.0,0.5414102292030979,0.25949427843452494,0.058693551634951185,0.24021945514804413,0.5372214143362046,0.2750412524879752,0.06290131524234567,0.22467711479086439
0.27005481719970703,0.09791813045740128,0.9776227474212646,0.7559150514255527,0.3801981910956358,0.3801981910956358,0.3801981910956358,1.0,0.5443316257958393,0.24389312599315216,0.05575299029902331,0.2558203537738016,0.540776520066022,0.25946718924056367,0.05932715277068449,0.24024873428233298
0.28005290031433105,0.1074201911687851,1.0709244012832642,0.7260322094900482,0.3402114344085553,0.3402114344085553,0.3402114344085553,1.0,0.546682288880052,0.22811563827630982,0.05338267565251015,0.2715997831142287,0.543729404473037,0.24379141375843674,0.056354914211597315,0.25592425869828084
0.29006195068359375,0.1174335777759552,0.981349766254425,0.6951000935178384,0.3327398894636568,0.3327398894636568,0.3327398894636568,1.0,0.548411601402155,0.21249032863223974,0.05163352571673263,0.2872292398635637,0.546070502937596,0.22814087119533824,0.05399421996416497,0.27157674928092224
0.30007505416870117,0.125614732503891,0.7949937582015991,0.6633978945546645,0.3431827254705398,0.3431827254705398,0.3431827254705398,1.0,0.5495125864922965,0.19714946328036032,0.05051258091588012,0.30257642775378374,0.5477915447149462,0.2126451672378493,0.05225340044002255,0.28707658851735296
0.3101825714111328,0.13477590680122375,0.9581226706504822,0.6308916758211828,0.28593800572848393,0.28593800572848393,0.28593800572848393,1.0,0.5499830387625745,0.18207988680427628,0.05002191624985042,0.3176545415193168,0.5488872917387604,0.19736252702106277,0.051137658344936485,0.3023655650183349
0.3202042579650879,0.14547106623649597,1.1033118963241577,0.5984182951791669,0.23275190887427483,0.23275190887427483,0.23275190887427483,1.0,0.5498125622425887,0.16766769679811896,0.050172339242239794,0.3320772678695844,0.5493499269906745,0.18251511190959085,0.05065499879358814,0.3172214164439596
0.33015894889831543,0.15518617630004883,0.8640740513801575,0.5661704806013467,0.24907292032013306,0.24907292032013306,0.24907292032013306,1.0,0.5490157753106092,0.15398463695822698,0.050949244516099335,0.3457727546963311,0.5491828511506418,0.16824987443390893,0.05080212165484374,0.33149708557014534
0.3401665687561035,0.16170553863048553,0.5884930491447449,0.534000869204555,0.2753811106844245,0.2753811106844245,0.2753811106844245,1.0,0.5475864278590519,0.14097064017798014,0.05235869295155415,0.35880111828786043,0.5483846395048468,0.15461025730594455,0.05158040730319895,0.3451491019290029
0.3500800132751465,0.1673726886510849,0.6910801529884338,0.5026092558509403,0.22768390272374678,0.22768390272374678,0.22768390272374678,1.0,0.5455529520709024,0.1289113161019898,0.05437259371286249,0.37087641711257263,0.5469687957878746,0.1417607867039672,0.05297650050803072,0.35801275952078776
0.3601562976837158,0.1756390482187271,0.7857677340507507,0.47140965310675853,0.18181520020185848,0.18181520020185848,0.18181520020185848,1.0,0.5428614076280414,0.11759740996574247,0.05704443127298131,0.3822082127706694,0.544915101707958,0.12967909833485483,0.05501046589050601,0.3701104861457286
0.37016725540161133,0.1831810474395752,0.833486795425415,0.4413286736721782,0.14567034122041578,0.14567034122041578,0.14567034122041578,1.0,0.5395704574158838,0.10738610009503471,0.060316041416762695,0.39243880777462675,0.5422427795619209,0.11853259921494477,0.05766325365363435,0.38127464696017765
0.38015031814575195,0.1896577924489975,0.5094718337059021,0.41243566461872505,0.1819627817553066,0.1819627817553066,0.1819627817553066,1.0,0.5356846986193196,0.0983037797331624,0.06418280013264724,0.4015417109284768,0.5389637390906202,0.10841818947405359,0.060923026893140796,0.3914081789443272
0.3901522159576416,0.1931944340467453,0.2748048007488251,0.384772655601364,0.20548208082381864,0.20548208082381864,0.20548208082381864,1.0,0.5311965897954779,0.09037674034324425,0.06865220757976606,0.4094905659571931,0.5350801644430491,0.09939746490864892,0.06478761723645343,0.4004493724507602
0.4001634120941162,0.19621975719928741,0.3705011010169983,0.35853374417526895,0.15995843362106849,0.15995843362106849,0.15995843362106849,1.0,0.5261192531688185,0.08367887087248205,0.07371120808720302,0.4162112992060325,0.5305997088059338,0.09153816789056549,0.06924941266182823,0.40833033582839634
0.41014695167541504,0.1985633224248886,0.18889537453651428,0.33395555954402,0.17523873352341546,0.17523873352341546,0.17523873352341546,1.0,0.5204858239376697,0.07828313204471896,0.07932677926385334,0.4216306864849184,0.5255427663718018,0.08491064996764222,0.07428809596284078,0.41498051115665735
0.4201467037200928,0.20231300592422485,0.3554193675518036,0.3110523324613994,0.11597258680083944,0.11597258680083944,0.11597258680083944,1.0,0.5142867671269296,0.07420535907016715,0.08550842201768283,0.42573281206332536,0.5199147667493657,0.07955800451890468,0.0798982589902618,0.42035666160999136
0.43014979362487793,0.20469918847084045,0.30376189947128296,0.28996391590752224,0.10509842057320606,0.10509842057320606,0.10509842057320606,1.0,0.507544091786674,0.07148622248243428,0.09223419509650765,0.42847678768721187,0.5137294292680199,0.07552211350066948,0.08606622704338474,0.4244167246486016
0.44007301330566406,0.20802277326583862,0.3125106692314148,0.2709286883746713,0.08252622085790273,0.08252622085790273,0.08252622085790273,1.0,0.5003368742081558,0.07015352426568697,0.09942519897959179,0.4298344099140072,0.5070331517380878,0.07283781888317822,0.09274571301148826,0.42712556728130435
0.4500730037689209,0.20981240272521973,0.1403011679649353,0.25370906818490746,0.10097663207004459,0.10097663207004459,0.10097663207004459,1.0,0.4925698209324152,0.07019590793456745,0.10717651194285502,0.4298172355271533,0.4998014863352515,0.07151686340887284,0.09996111247717164,0.4284714014042288
0.4601316452026367,0.21049414575099945,0.0018236812902614474,0.23841967543336184,0.11489961200963483,0.11489961200963483,0.11489961200963483,1.0,0.4842665185114844,0.07164116275865812,0.11546462824117734,0.42839723492514076,0.4920340024233679,0.07157901308376548,0.10771287035917448,0.4284343181646848
0.47011399269104004,0.21057936549186707,0.025855813175439835,0.22528218268658073,0.09306715630995643,0.09306715630995643,0.09306715630995643,1.0,0.47556053795433784,0.07445509064530584,0.12415621710291003,0.42560807319752686,0.4837972701888529,0.07301705186453566,0.11593454373104226,0.42702119568110586
0.48011279106140137,0.21062198281288147,0.0384347066283226,0.2141569148758642,0.07536668406601676,0.07536668406601676,0.07536668406601676,1.0,0.46639721232518017,0.078629650521576,0.133305842079828,0.4214578322769584,0.4750972412570165,0.07582335119305583,0.12462019290543513,0.42423951397903215
0.4901406764984131,0.21032370626926422,-0.04278333857655525,0.20502337765845935,0.08091888011221504,0.08091888011221504,0.08091888011221504,1.0,0.45678518508030175,0.08414695342550213,0.14290488205450366,0.41596423961747697,0.4659412131686591,0.07998515230927898,0.1337625374799694,0.42010187679825456
0.5002632141113281,0.210153266787529,0.022488713264465332,0.19781764376623934,0.053836915761648285,0.053836915761648285,0.053836915761648285,1.0,0.44667859034913626,0.09102415274981923,0.15299916550112577,0.40911009685260025,0.4563099017588977,0.08550465252954911,0.14338085149054758,0.4146059868254274
0.5102615356445312,0.21011066436767578,0.022927384823560715,0.19262532025792467,0.043264217078464395,0.043264217078464395,0.043264217078464395,1.0,0.4363232106265493,0.09905373638483692,0.16334320368640826,0.40110224334930167,0.4463165561927235,0.09227919445719301,0.15336202758847792,0.4078541150873645
0.5202000141143799,0.210281103849411,0.07657937705516815,0.18928074467382294,0.021846382831427924,0.021846382831427924,0.021846382831427924,1.0,0.4256885938533884,0.10819178468110327,0.1739673815871912,0.39198460049284567,0.43600257502305595,0.10023548956914814,0.16366470458783455,0.3999193577901051
0.5302658081054688,0.21040892601013184,0.06080840900540352,0.18764070891310336,0.017699989172248354,0.017699989172248354,0.017699989172248354,1.0,0.4145982035206094,0.11855059469943507,0.1850480743709837,0.3816450834438951,0.42530038927183267,0.1093930421342916,0.17435638947940912,0.3907822206170001
0.5401866436004639,0.2102384865283966,-0.03126237913966179,0.18763108978501064,0.0326262791229992,0.0326262791229992,0.0326262791229992,1.0,0.4033803904631587,0.12976837644987646,0.19625721529036141,0.3704448173502027,0.41434038986749566,0.11958070929208403,0.18530680238488528,0.3806135189836014
0.5502052307128906,0.2102384865283966,-0.008943435736000538,0.18910926396124395,0.02218164370985809,0.02218164370985809,0.02218164370985809,1.0,0.39179129940464463,0.1420250276474355,0.2078384631950688,0.3582042073207099,0.40306584463607015,0.13080286846975975,0.19657263278997705,0.36940886315215565
0.5601694583892822,0.2101958841085434,-0.004906240850687027,0.1919179905315178,0.01707880247212734,0.01707880247212734,0.01707880247212734,1.0,0.3800341909702419,0.15504659881895844,0.21958870210372985,0.3451968257242418,0.391550017803156,0.1429247336443591,0.20808066744685344,0.3573028444381987
0.5701687335968018,0.21036632359027863,0.06873620301485062,0.1959203533353413,-0.0031642395192462702,-0.0031642395192462702,-0.0031642395192462702,1.0,0.3680339740033658,0.16884671256756417,0.23158297619962093,0.3314090725580357,0.3797919959032609,0.15588572310596163,0.21983182182323718,0.3443559584981172
0.5800626277923584,0.2102384865283966,0.005402436945587397,0.20088109089116912,0.009171182940668543,0.009171182940668543,0.009171182940668543,1.0,0.35599099180093,0.18311933636441155,0.24362103035295318,0.3171467328776879,0.36789149385209546,0.1695025297351866,0.23172642608809518,0.33075134568790254
0.590080976486206,0.210281103849411,-0.012362895533442497,0.20673941162639453,0.011737461229457291,0.011737461229457291,0.011737461229457291,1.0,0.3436555737715665,0.1980868759894245,0.25595243594819816,0.3021875542342963,0.35577353381183097,0.18379470286230556,0.24383943101814667,0.3164694499610994
0.600059986114502,0.21032370626926422,0.015042166225612164,0.21322327935030083,0.004386368900813342,0.004386368900813342,0.004386368900813342,1.0,0.33125852059312555,0.21339633330864374,0.26834648042908504,0.28688430776411983,0.34351602720247826,0.19859551808547465,0.25609295572361584,0.3016768788626096
