time_s,hip_pos_target_r,hip_pos_target_l,hip_pos_r,hip_pos_l,hip_vel_target_r,hip_vel_target_l,hip_vel_r,hip_vel_l,pid_output_r,pid_output_l,agent_torque_r,agent_torque_l,combined_torque_r,combined_torque_l
0.0,0.0,0.0,-0.03302286937832832,-0.0022157279308885336,1.6710131783785793,0.0,0.020368700847029686,-0.04518679901957512,0.06604573875665665,0.004431455861777067,-0.9513104557991028,-0.6767852306365967,0.06604573875665665,0.004431455861777067
0.01,0.016710131783785793,0.0,-0.03310808911919594,-0.0020878976210951805,1.6710131783785793,0.0,-0.01453159935772419,0.021059269085526466,0.2675899570524975,0.00289749214425683,-0.6372932195663452,-0.27113330364227295,0.2675899570524975,0.00289749214425683
0.02,0.033420263567571586,0.0,-0.03310808911919594,-0.002002677181735635,1.733219752188944,0.0,-0.027645938098430634,0.07150056958198547,0.30015802321139295,0.0031531499698758125,-0.9408406019210815,-0.48992156982421875,0.30015802321139295,0.0031531499698758125
0.03,0.051374526827564666,0.0,-0.03306547924876213,-0.0020878976210951805,1.8023381675337942,0.0,-0.005321628879755735,0.02349964715540409,0.3479965460482463,0.005027999635785818,-0.8770631551742554,-0.44522523880004883,0.3479965460482463,0.005027999635785818
0.04,0.06946702691824747,0.0,-0.03306547924876213,-0.0020878976210951805,1.8519230650782323,0.0,-0.005321628879755735,0.02349964715540409,0.38599001324084725,0.004175795242190361,-0.9412531852722168,-0.5166702270507812,0.38599001324084725,0.004175795242190361
0.05,0.08841298812912933,0.0,-0.03306547924876213,-0.0020878976210951805,1.905264385090676,0.0,-0.005321628879755735,0.02349964715540409,0.4324165468646016,0.004175795242190361,-0.9480712413787842,-0.5076638460159302,0.4,0.004175795242190361
0.06,0.10757231462006098,0.0,-0.03302286937832832,-0.0021305077243596315,1.9422276063692152,0.0,0.022990984842181206,-0.0005386229022406042,0.472357534201757,0.004687116481363773,-0.9654557704925537,-0.5512516498565674,0.4,0.004687116481363773
0.07,0.12725754025651365,0.0,-0.032980259507894516,-0.002045287285000086,1.9797918310492921,0.0,0.034498296678066254,0.03359249234199524,0.5169017571890049,0.0032383701764047146,-0.9740052223205566,-0.5361423492431641,0.4,0.0032383701764047146
0.08,0.14716815124104682,0.0,-0.032980259507894516,-0.002045287285000086,2.0041333760619144,0.0,0.034498296678066254,0.03359249234199524,0.5594029313432144,0.004090574570000172,-0.9843467473983765,-0.5565505027770996,0.4,0.004090574570000172
0.09,0.1673402077777519,0.0,-0.032980259507894516,-0.002045287285000086,2.025920505409574,0.0,0.018587952479720116,0.039876777678728104,0.6023614999383438,0.004090574570000172,-0.9902797937393188,-0.5376152992248535,0.4,0.004090574570000172
0.1,0.1876865613492383,0.0,-0.032980259507894516,-0.002045287285000086,2.037640374156288,0.0,0.018587952479720116,0.039876777678728104,0.6447971774291297,0.004090574570000172,-0.9939570426940918,-0.5617759227752686,0.4,0.004090574570000172
0.11,0.20809301526087767,0.0,-0.032980259507894516,-0.002045287285000086,2.0436504081715867,0.0,0.018587952479720116,0.039876777678728104,0.6862110886539381,0.004090574570000172,-0.9959193468093872,-0.5558527708053589,0.4,0.004090574570000172
0.12,0.22855956951267,0.0,-0.0328950397670269,-0.0021731178276240826,2.0427486006523736,0.0,0.024830983951687813,-0.026786450296640396,0.7267225636686407,0.0056245410814881325,-0.9974949955940247,-0.5847585201263428,0.4,0.0056245410814881325
0.13,0.24894798727392514,0.0,-0.03263937681913376,-0.0021731178276240826,2.0329815393353012,0.0,0.0982648953795433,-0.02320953831076622,0.764502276319738,0.004346235655248165,-0.997042179107666,-0.640775203704834,0.4,0.004346235655248165
0.14,0.26921920029937607,0.0,-0.03200022503733635,-0.0022157279308885336,2.019458055550194,0.0,0.05086490139365196,-0.0404285192489624,0.79875946310996,0.0048575568944215775,-0.9978034496307373,-0.6134426593780518,0.4,0.0048575568944215775
0.15,0.289337148384929,0.0,-0.03195761516690254,-0.0020878976210951805,1.9939138989006597,0.0,-0.016068512573838234,0.01424891222268343,0.8433429092548546,0.00289749214425683,-0.9986210465431213,-0.5403528213500977,0.4,0.00289749214425683
0.16,0.30909747827738926,0.0,-0.03182978555560112,-0.0021305077243596315,1.9677687388496476,0.0,0.030836500227451324,-0.0006191989523358643,0.8781795304775689,0.004687116481363773,-0.9986883401870728,-0.5521285533905029,0.4,0.004687116481363773
0.17,0.328692523161922,0.0,-0.031446292996406555,-0.002045287285000086,1.9264474868677812,0.0,0.07405516505241394,0.031530361622571945,0.9123931555700387,0.0032383701764047146,-0.9982091188430786,-0.5621562004089355,0.4,0.0032383701764047146
0.18,0.34762642801474486,0.0,-0.028634024783968925,-0.0021731178276240826,1.887680650550859,0.0,0.35219696164131165,-0.03309325501322746,0.91373727200128,0.0056245410814881325,-0.992157518863678,-0.7277933359146118,0.4,0.0056245410814881325
0.19,0.3664461361729392,0.0,-0.02501215972006321,-0.0021305077243596315,1.8305823032365787,0.0,0.38471275568008423,-0.017437400296330452,0.934895022728891,0.003834914416074753,-0.9846736192703247,-0.7196043729782104,0.4,0.003834914416074753
0.2,0.38423807407947647,0.0,-0.021390296518802643,-0.0021731178276240826,1.7791937906537285,0.0,0.33500179648399353,-0.012395627796649933,0.9529574882493252,0.004772336687892675,-0.9889425039291382,-0.6557623147964478,0.4,0.004772336687892675
0.21,0.40203001198601374,0.0,-0.019813720136880875,-0.0022157279308885336,1.706318348007077,0.0,0.15703746676445007,-0.0029058537911623716,1.0058410794919443,0.0048575568944215775,-0.9964815378189087,-0.438845157623291,0.4,0.0048575568944215775
0.22,0.41836444103961795,0.0,-0.017171891406178474,-0.0022583380341529846,1.6334429053604183,0.0,0.29529833793640137,0.008994236588478088,1.007998668120611,0.0049427771009504795,-0.9947677254676819,-0.5656158924102783,0.4,0.0049427771009504795
0.23,0.43469887009322217,0.0,-0.012910876423120499,-0.0021731178276240826,1.556675915030631,0.0,0.4172937572002411,-0.008403974585235119,1.0159536337381478,0.0034940335899591446,-0.9893938302993774,-0.6069960594177246,0.4,0.0034940335899591446
0.24,0.4494979593402306,0.0,-0.007840268313884735,-0.0021305077243596315,1.4713792591086552,0.0,0.5521752238273621,-0.024363303557038307,1.0119612666859576,0.003834914416074753,-0.9813452363014221,-0.6689374446868896,0.4,0.003834914416074753
0.25,0.4641264552753952,0.0,-0.00285488017834723,-0.002045287285000086,1.3954141207412363,0.0,0.4742196798324585,0.018786627799272537,1.0303937489037556,0.0032383701764047146,-0.9839862585067749,-0.5541319847106934,0.4,0.0032383701764047146
0.26,0.47740624175505536,0.0,0.0016191857866942883,-0.0021305077243596315,1.3111197797722092,0.0,0.4918616712093353,-0.0492909736931324,1.0396313170829086,0.00511321984231472,-0.9857980608940125,-0.5241529941558838,0.4,0.00511321984231472
0.27,0.4903488508708394,0.0,0.007328946143388748,-0.0020878976210951805,1.238305610807103,0.0,0.5612562894821167,-0.004180343355983496,1.038368297045797,0.0037496942095458508,-0.9807079434394836,-0.5428516864776611,0.4,0.0037496942095458508
0.28,0.5021723539711974,0.0,0.013081317767500877,-0.0020878976210951805,1.1583694668481144,0.0,0.6257776618003845,-0.017178984358906746,1.038893387169852,0.004175795242190361,-0.9776121377944946,-0.5612506866455078,0.4,0.004175795242190361
0.29,0.5135162402078015,0.0,0.020154602825641632,-0.0020878976210951805,1.0890418554910113,0.0,0.7734255790710449,-0.015756137669086456,1.0294292865489532,0.004175795242190361,-0.967595636844635,-0.6366376876831055,0.4,0.004175795242190361
0.3,0.5239531910810177,0.0,0.02782442793250084,-0.0021305077243596315,1.013463908542029,0.0,0.75743567943573,-0.032057613134384155,1.0199287839606033,0.004687116481363773,-0.9713701605796814,-0.5890231132507324,0.4,0.004687116481363773
0.31,0.5337855183786421,0.0,0.03587774932384491,-0.0021731178276240826,0.9476228547929537,0.0,0.627295196056366,-0.027335628867149353,1.0136055971723976,0.004772336687892675,-0.980072557926178,-0.4645273685455322,0.4,0.004772336687892675
0.32,0.5429056481768768,0.0,0.04273798316717148,-0.002045287285000086,0.876403104853992,0.0,0.7451256513595581,0.008201826363801956,1.0229342895684923,0.0028122691437602043,-0.9696426391601562,-0.47918689250946045,0.4,0.0028122691437602043
0.33,0.551313580475722,0.0,0.05019475892186165,-0.0021305077243596315,0.8140486087129375,0.0,0.8429888486862183,-0.025193821638822556,1.0117492085492708,0.00511321984231472,-0.9602461457252502,-0.4817385673522949,0.4,0.00511321984231472
