timestep,episode,hip_pos_l,hip_pos_r,exo_pos_l,exo_pos_r,hip_vel_l,hip_vel_r,exo_vel_l,exo_vel_r,act_iliopsoas_l,act_iliopsoas_r,act_glut_l,act_glut_r,muscle_length_iliopsoas_l,muscle_length_iliopsoas_r,muscle_length_glut_l,muscle_length_glut_r,muscle_force_iliopsoas_l,muscle_force_iliopsoas_r,muscle_force_glut_l,muscle_force_glut_r,motor_torque_l,motor_torque_r,pid_output_l,pid_output_r,hip_pos_target_l,hip_pos_target_r,hip_vel_target_l,hip_vel_target_r
1999001,1999,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,1.0677679777145386,1.0677679777145386,0.7233012914657593,0.7233012914657593,0.0,0.0,0.0,0.0,0.0,0.0,0.00023616055873571117,0.0,0.0,0.00011691116769094612,0.0,-1.0447034592521818
1999002,1999,-0.0011874953052029014,-0.0011874953052029014,-0.0011747950920835137,-0.0011747950920835137,0.3151469826698303,0.3151469826698303,0.3018183410167694,0.3018183410167694,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.01931273192167282,1.055488109588623,1.055488109588623,0.7168965935707092,0.7139521837234497,0.0,0.0,0.0,0.0,0.0,0.0,-0.020864511094805666,0.0,0.0,-0.010330123424831429,0.0,-1.0447034592521813
1999003,1999,-0.0005453620105981827,-0.0005453620105981827,-0.0005449262680485845,-0.0005449262680485845,-0.16685520112514496,-0.16685520112514496,-0.16444171965122223,-0.16444171965122223,0.009999999776482582,0.009999999776482582,0.03960953652858734,0.07528173178434372,1.0446449518203735,1.0446449518203735,0.7028923630714417,0.6935498118400574,0.0,0.0,0.0,0.0,5.603222846984863,-5.558712482452393,-0.08687188301075471,-0.04487330688396469,0.0,-0.020690253406756048,0.0,-0.9984746488223865
1999004,1999,0.0004948817659169436,-0.002804129384458065,-0.0009884672472253442,-0.0013404894853010774,0.3175438642501831,-0.31140273809432983,0.07373923808336258,-0.06892509013414383,0.023840347304940224,0.009999999776482582,0.03575689345598221,0.06978578865528107,1.0302157402038574,1.0348223447799683,0.6864266991615295,0.679244875907898,0.0,0.0,0.0,0.03522230312228203,3.1252145767211914,-3.539612293243408,-0.03642790776485459,0.02615366133628413,0.0,-0.03067499989498059,0.0,-0.9984746488223865
1999005,1999,0.0034999537747353315,-0.007419249042868614,0.0005987668409943581,-0.004243386443704367,0.23244509100914001,-0.6911877393722534,0.20277518033981323,-0.5694419741630554,0.02210591919720173,0.009999999776482582,0.04652564972639084,0.06434736400842667,1.0147068500518799,1.0257160663604736,0.683861255645752,0.6772103905677795,0.0,0.0,0.02819373644888401,0.031280823051929474,6.412034034729004,-3.7842655181884766,-0.030863265342388556,-0.04859658365836367,0.0,-0.040614408538753366,0.0,-0.951121543448045
1999006,1999,0.007235108874738216,-0.015501903370022774,0.0044603291898965836,-0.011598939076066017,0.4585410952568054,-0.9375990629196167,0.5197088122367859,-0.9127402901649475,0.020595069974660873,0.01478495541960001,0.04591219127178192,0.05686608701944351,1.0003067255020142,1.015251636505127,0.684636652469635,0.6744847297668457,0.0,0.0,0.02690538391470909,0.026273254305124283,-1.0015177726745605,-1.0159742832183838,0.0155424847576634,-0.041911910765338685,0.0,-0.050083881914268207,0.0,-0.9469473375514328
1999007,1999,0.009662846103310585,-0.02630646340548992,0.009449644014239311,-0.02304605022072792,0.1456705927848816,-1.122684359550476,0.5374144315719604,-1.2384694814682007,0.01927826553583145,0.04357996955513954,0.07667161524295807,0.05052320286631584,0.9910472631454468,1.0036406517028809,0.6840729117393494,0.6709332466125488,0.015630343928933144,0.04034731537103653,0.04431623965501785,0.02087288163602352,4.524624347686768,-6.7487311363220215,0.04884951615465133,-0.08344132377998903,0.0,-0.05955335528978305,0.0,-0.9217848711986326
1999008,1999,0.012007908895611763,-0.03938199207186699,0.014384033158421516,-0.0363030843436718,0.3691708445549011,-1.4195469617843628,0.42737168073654175,-1.4021539688110352,0.018128344789147377,0.07323234528303146,0.07168344408273697,0.045113399624824524,0.9899991154670715,1.003047227859497,0.6849014163017273,0.6670322418212891,0.01689891144633293,0.07496891915798187,0.04240267351269722,0.018812624737620354,-2.1097123622894287,-1.531304121017456,0.07956224970343186,-0.04155947978841141,0.0,-0.06846139646755374,0.0,-0.8901215254393259
1999009,1999,0.014584754593670368,-0.052835654467344284,0.017430733889341354,-0.051178622990846634,0.1698625236749649,-1.2466800212860107,0.19919945299625397,-1.5099122524261475,0.017123663797974586,0.1196318119764328,0.07846375554800034,0.04048251360654831,0.9897890090942383,1.0018823146820068,0.6849786639213562,0.6636984348297119,0.016651012003421783,0.11366432160139084,0.04455120116472244,0.01707945019006729,-1.8960630893707275,-2.226686477661133,0.13168065446947994,-0.08001480131642894,0.0,-0.07736261172194747,0.0,-0.8901215254393259
1999010,1999,0.015324604697525501,-0.06422877311706543,0.018208323046565056,-0.06600024551153183,-0.009488584473729134,-1.017043113708496,-0.020748252049088478,-1.3921973705291748,0.016245605424046516,0.11895400285720825,0.07519128918647766,0.0365065298974514,0.9901337623596191,1.0031448602676392,0.6848415732383728,0.6610654592514038,0.016647793352603912,0.12731987237930298,0.04212067276239395,0.015878742560744286,-1.5392327308654785,-2.885117530822754,0.11530129022873743,-0.05556393967242911,0.0,-0.0857121705396961,0.0,-0.8279972124860561
