time_s,target_right_rad,actual_right_rad,torque_right_nm,right_flex,right_ext,target_left_rad,actual_left_rad,torque_left_nm,left_flex,left_ext
0.0,-0.00011691116769094612,-2.059762113075022e-06,-0.0008581210130263222,0.00010533696208954247,0.0,0.0,-1.5571871625020279e-06,-0.00012084425627461009,0.0,0.0
0.01,0.010330123424831429,3.963116677538608e-05,0.0648406901849073,0.0,0.009296645697658215,0.0,-3.863059861600066e-06,-0.0001763890218884888,7.937062153441863e-06,0.0
0.02,0.020690253406756048,0.0003482095000769673,0.13960667414458133,0.0,0.018885184307748454,0.0,-7.1110240634370715e-06,-0.00018565820965656704,8.270826112889995e-06,0.0
0.03,0.03067499989498059,0.0013817141608790896,0.21925957635416582,0.0,0.029373039459738837,0.0,-1.3008567054922152e-05,-0.00020805238193110506,1.130763084050402e-05,0.0
0.04,0.040614408538753366,0.003653465773446945,0.30655853783873654,0.0,0.041662615780488695,0.0,-2.3052545761469775e-05,-0.0002807258829834302,2.1297245396134114e-05,0.0
0.05,0.050083881914268207,0.0076628451557368155,0.3934754372876809,0.0,0.05501282918445257,0.0,-3.782772757620664e-05,-0.00037965804884321073,3.41457152826687e-05,0.0
0.06,0.05955335528978305,0.013854661548097905,0.47501503182939303,0.0,0.06925923620668184,0.0,-5.717124460369848e-05,-0.000464980170208147,4.4584609221257736e-05,0.0
0.07,0.06846139646755374,0.022562972975086144,0.5414257479657495,0.0,0.08317861944454324,0.0,-8.03190955545401e-05,-0.0005092866591487212,4.940725447918656e-05,0.0
0.08,0.07736261172194747,0.033978725537793276,0.5898682297821028,0.0,0.09633485762055612,0.0,-0.00010610902652847519,-0.0004934900355460442,4.637229401560652e-05,0.0
0.09,0.0857121705396961,0.048124687801445715,0.6154753810639328,0.0,0.10732832554162466,0.0,-0.00013307782196543127,-0.0004104952706431229,3.4804508948183186e-05,0.0
0.1,0.09399214266455713,0.06486176161256443,0.6204957193777111,0.0,0.11569647892061816,0.0,-0.00015966635113606487,-0.00025851310636320837,1.4574461113694848e-05,0.0
0.11,0.10174083111555474,0.0839049638444781,0.605757810749547,0.0,0.12036418648559152,0.0,-0.00018435960889523224,-4.5653673933154025e-05,0.0,1.310601343330241e-05
0.12,0.10934657510247155,0.10485658592920712,0.5762263307942279,0.0,0.12122217721682228,0.0,-0.0002058566756541496,0.00021530261230608074,0.0,4.654730414838379e-05
0.13,0.11645200517998859,0.12723589004949498,0.5343373845763992,0.0,0.1177907129196158,0.0,-0.00022313101515296832,0.0005054753634667634,0.0,8.330867128043867e-05
0.14,0.12333053602054957,0.15050880501032626,0.4837758837289261,0.0,0.11036018824197558,0.0,-0.00023546173929260024,0.0008063942939786852,0.0,0.00012109309687773984
0.15,0.12975031971785705,0.17410714531108853,0.42558503512771695,0.0,0.09897231504198274,0.0,-0.00024238403679954044,0.0011002951922307203,0.0,0.00015769545670812053
0.16,0.13584865240365068,0.19744109467826038,0.36066081396811805,0.0,0.08410618652200519,0.0,-0.00024362740270743947,0.001373719726811358,0.0,0.000191511260938995
0.17,0.14154040171401913,0.2199029359760385,0.2881274240917181,0.0,0.06612146872393776,0.0,-0.0002390341865035932,0.0016169201484680486,0.0,0.00022138798567697575
