timestep,episode,hip_pos_l,hip_pos_r,exo_pos_l,exo_pos_r,hip_vel_l,hip_vel_r,exo_vel_l,exo_vel_r,act_iliopsoas_l,act_iliopsoas_r,act_glut_l,act_glut_r,muscle_length_iliopsoas_l,muscle_length_iliopsoas_r,muscle_length_glut_l,muscle_length_glut_r,muscle_force_iliopsoas_l,muscle_force_iliopsoas_r,muscle_force_glut_l,muscle_force_glut_r,motor_torque_l,motor_torque_r,pid_output_l,pid_output_r,hip_pos_target_l,hip_pos_target_r,hip_vel_target_l,hip_vel_target_r
44001,44,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,1.0680434703826904,1.0680437088012695,0.7233721017837524,0.7233721017837524,0.0,0.0,0.0,0.0,0.2774786949157715,-17.454334259033203,0.00023616055873571117,0.0,0.0,0.00011691116769094612,0.0,-1.0447034592521818
44002,44,-0.0017721891636028886,-0.004199570044875145,-0.001822975929826498,-0.0019829070661216974,-2.7677805423736572,-3.2093005180358887,-2.789130687713623,-2.8387608528137207,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.01933586783707142,1.055721640586853,1.0557218790054321,0.7169662714004517,0.7140260934829712,0.0,0.0,0.0,0.0,-4.058350563049316,-18.657915115356445,-0.020864511094805666,0.0,0.0,-0.010330123424831429,0.0,-1.0447034592521813
44003,44,-0.01597650721669197,-0.024157872423529625,-0.01555545348674059,-0.017862580716609955,-0.3254706859588623,-1.0136585235595703,-0.23715531826019287,-0.6644155383110046,0.3094867169857025,0.3277876079082489,0.009999999776482582,0.018178366124629974,1.0177361965179443,1.0171313285827637,0.710648775100708,0.7036125659942627,0.0,0.0,0.0,0.0,-1.6198205947875977,-18.586210250854492,0.447879633069241,0.41874690346652643,0.0,-0.020690253406756048,0.0,-0.9984746488223865
44004,44,-0.0172888096421957,-0.03370232880115509,-0.016016367822885513,-0.025164024904370308,-0.1628868579864502,-1.1130460500717163,-0.09024502336978912,-0.9934807419776917,0.26200127601623535,0.2871629595756531,0.009999999776482582,0.017167214304208755,0.9872007369995117,0.9912520051002502,0.7044215798377991,0.6938797235488892,0.13537395000457764,0.17677494883537292,0.0,0.0,-6.165317535400391,-19.05804443359375,0.13835010312922416,0.08112859125481918,0.0,-0.03067499989498059,0.0,-0.9984746488223865
44005,44,-0.020124277099967003,-0.046781618148088455,-0.018122244626283646,-0.038066647946834564,-0.20470178127288818,-1.300808072090149,-0.19097986817359924,-1.3960469961166382,0.22239917516708374,0.2594919800758362,0.009999999776482582,0.016281194984912872,0.9809315204620361,0.9875227212905884,0.6982842087745667,0.684752881526947,0.19763582944869995,0.25514641404151917,0.0,0.0,-10.02933406829834,-19.15151596069336,0.1523300859789995,0.059711398102808746,0.0,-0.040614408538753366,0.0,-0.951121543448045
44006,44,-0.021647069603204727,-0.0596664734184742,-0.020393021404743195,-0.052911486476659775,-0.07007298618555069,-1.2446907758712769,-0.22723247110843658,-1.510135531425476,0.19453057646751404,0.24520811438560486,0.009999999776482582,0.015506388619542122,0.9806516766548157,0.9892351031303406,0.6922398209571838,0.6761855483055115,0.19556622207164764,0.27138036489486694,0.0,0.0,-9.307656288146973,-16.134225845336914,0.18764797594927782,0.07205705705331639,0.0,-0.050083881914268207,0.0,-0.9469473375514328
44007,44,-0.020848779007792473,-0.07064410299062729,-0.022065868601202965,-0.06736471503973007,0.15965640544891357,-1.0159519910812378,-0.1403108537197113,-1.4169623851776123,0.16987670958042145,0.23368628323078156,0.009999999776482582,0.0148285748437047,0.9818865656852722,0.9926165342330933,0.6862898468971252,0.6681244969367981,0.1766585409641266,0.2651229500770569,0.0,0.0,-10.91417121887207,-17.63705825805664,0.18606340766876264,0.055341264188755304,0.0,-0.05955335528978305,0.0,-0.9217848711986326
44008,44,-0.019443877041339874,-0.08062557876110077,-0.02302945777773857,-0.0817251205444336,0.1427638679742813,-0.9562357068061829,-0.008223116397857666,-1.4190672636032104,0.1444559544324875,0.21885211765766144,0.009999999776482582,0.014235185459256172,0.9836497902870178,0.9964597225189209,0.6804351806640625,0.6605205535888672,0.15199372172355652,0.2506245970726013,0.0,0.0,-9.007201194763184,-16.832136154174805,0.15593542086948306,0.019702249832917004,0.0,-0.06846139646755374,0.0,-0.8901215254393259
44009,44,-0.017452141270041466,-0.08957093209028244,-0.02156795747578144,-0.09418543428182602,0.21301963925361633,-0.8850395679473877,0.2388612926006317,-1.0942022800445557,0.12429179251194,0.2058839499950409,0.009999999776482582,0.013715988956391811,0.985532820224762,1.0004868507385254,0.6781608462333679,0.654346227645874,0.13133426010608673,0.23642244935035706,0.005714226979762316,0.004381356295198202,-13.487401008605957,-14.546242713928223,0.14920375860116736,0.019815204062033444,0.0,-0.07736261172194747,0.0,-0.8901215254393259
44010,44,-0.016506724059581757,-0.09871239960193634,-0.019122906029224396,-0.10400549322366714,0.010350974276661873,-0.9247275590896606,0.2488529086112976,-0.886518120765686,0.10648626834154129,0.1938284933567047,0.009999999776482582,0.013260900042951107,0.9874183535575867,1.0042756795883179,0.6785787343978882,0.6523941159248352,0.11204299330711365,0.2184106707572937,0.0057649193331599236,0.004910713993012905,-10.542871475219727,-9.180660247802734,0.1397931020262259,0.005642409652937205,0.0,-0.0857121705396961,0.0,-0.8279972124860561
