timestep,episode,hip_pos_l,hip_pos_r,exo_pos_l,exo_pos_r,hip_vel_l,hip_vel_r,exo_vel_l,exo_vel_r,act_iliopsoas_l,act_iliopsoas_r,act_glut_l,act_glut_r,muscle_length_iliopsoas_l,muscle_length_iliopsoas_r,muscle_length_glut_l,muscle_length_glut_r,muscle_force_iliopsoas_l,muscle_force_iliopsoas_r,muscle_force_glut_l,muscle_force_glut_r,motor_torque_l,motor_torque_r,pid_output_l,pid_output_r,hip_pos_target_l,hip_pos_target_r,hip_vel_target_l,hip_vel_target_r
2399001,2399,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,1.0677679777145386,1.0677679777145386,0.7233012914657593,0.7233012914657593,0.0,0.0,0.0,0.0,0.0,0.0,0.00023616055873571117,0.0,0.0,0.00011691116769094612,0.0,-1.0447034592521818
2399002,2399,-0.0011874953052029014,-0.0011874953052029014,-0.0011747950920835137,-0.0011747950920835137,0.3151469826698303,0.3151469826698303,0.3018183410167694,0.3018183410167694,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.01931273192167282,1.055488109588623,1.055488109588623,0.7168965935707092,0.7139521837234497,0.0,0.0,0.0,0.0,0.0,0.0,-0.020864511094805666,0.0,0.0,-0.010330123424831429,0.0,-1.0447034592521813
2399003,2399,-0.0005453620105981827,-0.0005453620105981827,-0.0005449262680485845,-0.0005449262680485845,-0.16685520112514496,-0.16685520112514496,-0.16444171965122223,-0.16444171965122223,0.009999999776482582,0.009999999776482582,0.03963989019393921,0.07534004747867584,1.0446434020996094,1.0446434020996094,0.7028980851173401,0.693556547164917,0.0,0.0,0.0,0.0,6.389570236206055,-7.62709379196167,-0.08687188301075471,-0.04487330688396469,0.0,-0.020690253406756048,0.0,-0.9984746488223865
2399004,2399,0.0002288958930876106,-0.0039135972037911415,-0.0014485422288998961,-0.001930730533786118,0.2925267815589905,-0.4921092987060547,0.019684605300426483,-0.1745503842830658,0.02383716218173504,0.009999999776482582,0.03578323870897293,0.06983549892902374,1.0302151441574097,1.0348211526870728,0.6864250898361206,0.6782841682434082,0.0,0.0,0.0,0.033196352422237396,8.023643493652344,-9.32345199584961,-0.03642790776485459,0.02615366133628413,0.0,-0.03067499989498059,0.0,-0.9984746488223865
2399005,2399,0.004656048957258463,-0.011294529773294926,0.0005828628200106323,-0.006531546823680401,0.5380173921585083,-1.040364384651184,0.38888099789619446,-0.8251286745071411,0.022103557363152504,0.009999999776482582,0.042938482016325,0.06150460243225098,1.0147106647491455,1.0257163047790527,0.683282196521759,0.6746063232421875,0.0,0.0,0.0228925459086895,0.026735451072454453,-8.658495903015137,-5.072579383850098,-0.0015161562555770225,-0.04430672979156952,0.0,-0.040614408538753366,0.0,-0.951121543448045
2399006,2399,0.0038742434699088335,-0.02578030526638031,0.0029476394411176443,-0.02046419121325016,-0.33579450845718384,-1.5242592096328735,0.2983975112438202,-1.5694111585617065,0.020593853667378426,0.06493829190731049,0.08147463202476501,0.05446329340338707,1.000314474105835,1.0056614875793457,0.6800354719161987,0.6703171133995056,0.0,0.032601963728666306,0.03831019625067711,0.02141442522406578,-15.152530670166016,-2.3180973529815674,0.07576923798135081,-0.09007774848898406,0.0,-0.050083881914268207,0.0,-0.9469473375514328
2399007,2399,-0.003955567721277475,-0.041787419468164444,0.0030088701751083136,-0.03766622766852379,-1.0733201503753662,-1.616724967956543,-0.568055272102356,-1.7847949266433716,0.03914608433842659,0.1379198580980301,0.071270652115345,0.048474907875061035,0.9955902695655823,0.9982742667198181,0.6771015524864197,0.6666918396949768,0.040974412113428116,0.11295706778764725,0.0333830788731575,0.02248508296906948,-10.911726951599121,7.167696952819824,0.15771060496327727,0.04248016270867083,0.0,-0.05955335528978305,0.0,-0.9217848711986326
2399008,2399,-0.014515973627567291,-0.05233893170952797,-0.006341693922877312,-0.05316983163356781,-1.201834797859192,-0.6294931173324585,-1.2642279863357544,-1.441237449645996,0.1419329196214676,0.17340824007987976,0.06270931661128998,0.04336269944906235,0.9900199770927429,0.9956647753715515,0.6733323931694031,0.6642939448356628,0.11744814366102219,0.16012486815452576,0.02759477309882641,0.019201211631298065,-5.413224697113037,-8.701168060302734,0.18524513521986677,0.16884774273319636,0.0,-0.06846139646755374,0.0,-0.8901215254393259
2399009,2399,-0.02758386917412281,-0.060584694147109985,-0.021483222022652626,-0.06509874016046524,-1.2465693950653076,-0.8507382869720459,-1.5469012260437012,-0.8436926603317261,0.19199159741401672,0.1507256031036377,0.05548030138015747,0.0389820858836174,0.9872535467147827,0.9974785447120667,0.6701546311378479,0.6615158915519714,0.1728912591934204,0.1726771742105484,0.026050562039017677,0.016232308000326157,-1.3788402080535889,-15.843544960021973,0.03996047799994531,0.20953607114090117,0.0,-0.07736261172194747,0.0,-0.8901215254393259
2399010,2399,-0.037857912480831146,-0.0707843080163002,-0.03640373423695564,-0.07248753309249878,-0.7572261691093445,-1.110424518585205,-1.380286693572998,-0.6792330741882324,0.22822946310043335,0.1378566324710846,0.04934260621666908,0.03521585464477539,0.9853415489196777,1.0019445419311523,0.6690822839736938,0.6587314009666443,0.20155726373195648,0.16065388917922974,0.026256199926137924,0.014511724933981895,0.8417701721191406,-14.236221313476562,0.07243711115769848,0.24293372919841205,0.0,-0.0857121705396961,0.0,-0.8279972124860561
