#{"t_start": 1781184891.8878322, "env_id": "nair_gait_h0404MimoExo-v0"}
r,l,t
839.790019,1000,3.524819
837.059938,1000,3.793839
841.238642,1000,4.057786
846.681583,1000,4.321501
830.581807,1000,4.584572
827.387757,1000,4.848533
851.282214,1000,5.109334
824.431896,1000,5.371952
828.947588,1000,5.635419
854.049256,1000,5.918951
822.897974,1000,10.86888
846.389661,1000,16.133551
858.76098,1000,20.727769
895.864119,1000,25.000422
917.663562,1000,29.541521
950.715981,1000,34.120181
966.216912,1000,38.345669
997.906245,1000,42.809899
1010.248017,1000,47.519965
1020.020274,1000,52.193928
1019.46295,1000,57.219797
1017.057167,1000,62.375294
1023.221274,1000,66.873082
1021.513959,1000,71.062742
1022.130422,1000,75.604089
1030.585109,1000,79.960363
1031.425094,1000,84.925351
1037.875335,1000,89.665727
1042.19633,1000,93.969565
1042.174314,1000,98.339682
1046.495907,1000,102.789931
1049.651828,1000,107.106485
1048.633709,1000,111.280636
1047.368852,1000,115.4213
1057.362956,1000,119.499093
1056.983877,1000,123.58092
1060.4431,1000,127.875424
1060.086237,1000,132.215112
1060.47416,1000,136.634284
1059.663162,1000,141.331741
1062.043233,1000,146.255203
1065.292229,1000,151.18367
1066.260359,1000,156.517804
1067.025222,1000,161.769443
1069.205468,1000,166.882816
1070.266338,1000,171.788216
1070.473412,1000,176.54124
1074.070288,1000,181.811326
1072.867946,1000,187.097576
1077.550932,1000,192.229048
1075.039372,1000,196.991286
1077.001317,1000,201.478642
1077.395408,1000,205.653344
1077.934265,1000,209.813893
1077.363426,1000,214.282981
1080.616419,1000,218.435225
1079.40203,1000,222.738363
1081.77442,1000,227.207592
1080.774912,1000,231.446379
1081.712812,1000,235.65686
1083.10313,1000,239.95177
1083.016294,1000,244.247454
1084.513999,1000,248.538202
1084.858939,1000,252.667583
1085.085965,1000,256.898537
1085.50649,1000,261.17669
1085.643421,1000,265.374568
1086.46443,1000,269.724348
1086.765211,1000,274.089925
1086.545224,1000,278.718049
1088.202318,1000,282.906812
1088.231045,1000,287.201592
1087.339372,1000,291.425223
1086.99309,1000,295.744413
1088.320092,1000,300.277346
1087.979216,1000,304.757369
1089.193119,1000,309.955213
1089.934695,1000,315.319199
1090.267376,1000,320.549043
1089.605553,1000,325.692821
1088.804559,1000,330.717696
1089.628973,1000,335.226423
1090.674568,1000,339.451669
1088.158377,1000,343.890652
1089.595502,1000,348.267261
1090.413471,1000,352.629472
1089.252654,1000,357.464522
1090.761434,1000,362.292562
1090.814041,1000,367.723296
1090.631216,1000,372.768165
1091.021131,1000,377.059924
1090.669195,1000,381.3088
1090.804942,1000,385.65741
1092.681064,1000,389.89789
1090.54616,1000,394.398221
1092.096647,1000,398.674598
1091.735033,1000,403.504822
1091.769581,1000,409.005932
1091.276335,1000,413.564467
1092.25983,1000,417.82716
1091.006516,1000,422.175719
1092.472413,1000,427.669861
1091.663984,1000,432.312405
1093.157791,1000,436.476209
1092.1376,1000,440.632766
1091.844303,1000,445.13795
1093.542406,1000,449.813425
1093.388328,1000,454.619526
1093.08301,1000,458.913815
1091.931449,1000,464.04849
1093.911335,1000,469.216198
1094.309675,1000,474.473206
1093.886214,1000,479.105654
1093.605251,1000,483.588376
1094.559141,1000,487.945853
1093.638802,1000,492.063677
1093.827621,1000,496.290103
1094.648949,1000,500.411737
1094.198495,1000,504.51447
1094.610761,1000,508.813097
1095.456851,1000,513.709604
1095.494661,1000,518.582896
1095.806731,1000,523.446077
1094.549717,1000,528.604253
1094.763061,1000,532.99057
1095.616453,1000,537.228753
1096.210167,1000,541.681594
1095.302643,1000,546.028851
1095.567155,1000,550.33868
1094.583472,1000,554.671612
1094.172368,1000,558.764274
1095.592479,1000,562.860849
1096.29406,1000,566.956752
1095.118273,1000,571.163965
1096.1646,1000,575.25799
1095.892555,1000,579.339644
1095.572676,1000,583.424788
1095.73536,1000,587.508433
1096.022752,1000,591.602789
1096.534753,1000,595.686639
1096.406546,1000,599.790985
1096.537097,1000,603.982186
1096.181943,1000,608.105335
1096.709206,1000,612.189804
1095.60505,1000,616.387908
1096.535018,1000,620.4774
1096.040134,1000,625.101522
1096.231825,1000,629.934142
1096.464572,1000,634.868791
1096.021128,1000,639.530617
1096.413153,1000,643.620622
1097.176367,1000,647.718333
1097.035771,1000,652.015626
1096.643868,1000,656.398408
1097.788441,1000,660.487016
1096.998051,1000,664.831883
1095.965136,1000,669.15453
1097.312805,1000,673.617424
1097.458814,1000,678.418242
1097.515346,1000,683.2052
1097.591173,1000,687.926053
1097.553985,1000,692.753338
1097.81294,1000,697.551725
1097.392334,1000,702.367449
1097.729288,1000,707.124408
1097.756257,1000,711.916147
1097.555318,1000,716.734542
1098.266083,1000,721.550334
1097.161706,1000,726.33428
1098.539247,1000,731.159944
1096.928322,1000,736.053327
1097.217756,1000,740.916421
1097.636441,1000,745.722396
1097.801907,1000,750.538535
1098.776137,1000,754.946238
1097.747526,1000,759.036662
1097.913542,1000,763.158913
1097.859116,1000,767.705219
1097.902808,1000,772.30656
1097.868143,1000,777.234727
1098.337742,1000,782.539437
1098.064139,1000,788.077279
1098.646495,1000,793.343253
1098.205905,1000,797.961137
1098.397085,1000,802.486702
1098.423239,1000,806.890336
1099.385103,1000,811.167939
1098.327602,1000,815.386323
1098.706499,1000,819.771135
1098.426891,1000,824.492466
1098.524838,1000,828.738782
1098.251047,1000,833.580157
1098.484393,1000,838.526788
1098.963462,1000,843.424449
1099.083264,1000,848.004654
1098.788167,1000,852.750319
1098.745023,1000,857.566174
1098.478964,1000,861.769284
1099.056339,1000,866.488181
1098.71451,1000,871.099121
